provider_id,hospital_name,state,control_type,operating_costs,gross_charges,ccr,markup
20012,FAIRBANKS MEMORIAL,AK,Nonprofit,279543853.0,380528426.0,0.7346201594936826,1.3612476966181044
100236,HCA FL FAWCETT HOSPITAL,FL,For-profit,220136990.0,1486777235.0,0.14806319656891975,6.753872827097346
10056,ST VINCENTS BIRMINGHAM,AL,Government,473438338.0,1496517047.0,0.3163601369921448,3.1609545042801326
360365,AVITA ONTARIO HOSPITAL,OH,Nonprofit,101380217.0,253807915.0,0.3994367827339033,2.5035250713657478
360017,GRANT MEDICAL CENTER,OH,Nonprofit,905395274.0,2761610716.0,0.32785043480400516,3.050171339860561
50777,KFH - SAN LEANDRO,CA,Nonprofit,564255464.0,1308244728.0,0.4313072714327804,2.318532670868385
50060,COMMUNITY REGIONAL MEDICAL CENTER,CA,Nonprofit,1131100185.0,1977562047.0,0.5719669765689026,1.7483526863714551
10086,NORTHWEST MEDICAL CENTER,AL,Nonprofit,20640621.0,67607095.0,0.30530258695481594,3.275438999630873
100118,ADVENTHEALTH PALM COAST,FL,Nonprofit,206012112.0,648170849.0,0.31783612656730265,3.1462754432613163
231301,KALKASKA MEMORIAL HEALTH CENTER,MI,Government,77013263.0,115120407.0,0.6689801140122793,1.4948127441373313
250094,MERIT HEALTH WESLEY,MS,For-profit,128470816.0,629935356.0,0.20394285663813416,4.9033342794366614
100044,MARTIN MEDICAL CENTER,FL,Nonprofit,652455221.0,1858332988.0,0.3510970451545361,2.8482153689440706
230132,HURLEY MEDICAL CENTER,MI,Government,395125220.0,612185969.0,0.6454333160321092,1.5493467336759723
240022,SANFORD REGIONAL HOSPITAL WORTHINGTO,MN,Nonprofit,51179208.0,126249440.0,0.40538166347510135,2.466811131582966
440150,SUMMIT MEDICAL CENTER,TN,For-profit,214482075.0,1186951652.0,0.18069992542543764,5.534036594899597
30093,BANNER DEL E WEBB MEDICAL CENTER,AZ,Nonprofit,336780465.0,725730268.0,0.4640573500236041,2.154906069151012
30085,NORTHWEST MEDICAL CENTER,AZ,For-profit,332757801.0,1557489169.0,0.21365015412187435,4.680548928738713
320018,MEMORIAL MEDICAL CENTER,NM,For-profit,230663460.0,1062520698.0,0.21709079214567922,4.606367640544367
370020,MERCY HOSPITAL ADA,OK,Nonprofit,121073866.0,315993519.0,0.3831530038437276,2.6099234247628633
100052,WINTER HAVEN HOSPITAL,FL,Nonprofit,424616563.0,1021237936.0,0.4157861239106966,2.40508266748888
250100,BAPTIST MEM HOSPITAL GOLDEN TRIANGLE,MS,Nonprofit,189501104.0,707977840.0,0.2676653043264744,3.73600905248552
260219,PROGRESS WEST HOSPITAL,MO,Nonprofit,100950372.0,259227116.0,0.38942828804992763,2.567866872248871
50329,CORONA REGIONAL MEDICAL CENTER,CA,For-profit,205614904.0,867154351.0,0.23711453879333647,4.2173710860959766
330267,NEW YORK PRESBYTERIAN HUDSON VALLEY,NY,Nonprofit,256517852.0,640650891.0,0.4004019281072068,2.4974904709556043
51337,HAZEL HAWKINS MEM. HOSPITAL,CA,Government,128155426.0,321646843.0,0.39843520553379097,2.5098183747600356
370004,INTEGRIS MIAMI HOSPITAL,OK,Nonprofit,55188383.0,153766789.0,0.35890964075474063,2.78621660286731
30036,CHANDLER REGIONAL MEDICAL CENTER,AZ,Nonprofit,652437028.0,1646723195.0,0.396203217384085,2.523957292932798
100191,MEDICAL CENTER OF TRINITY,FL,For-profit,255174895.0,2182618099.0,0.11691229680396781,8.55342019049327
340013,RUTHERFORD HOSPITAL  INC.,NC,For-profit,61895895.0,306605505.0,0.20187470215187428,4.953567680053742
380038,PROVIDENCE WILLAMETTE FALLS MED CTR,OR,Nonprofit,171643450.0,276300908.0,0.6212192759062521,1.6097375577104749
340047,NORTH CAROLINA BAPTIST HOSPITAL,NC,Nonprofit,2033298373.0,5249588942.0,0.38732525450370775,2.5818094440584103
260175,GOLDEN VALLEY MEMORIAL HOSPITAL,MO,Government,130282991.0,380089227.0,0.34276949133314955,2.9174125039852665
670075,ST LUKES HOSPITAL AT THE VINTAGE,TX,Nonprofit,108977206.0,397732873.0,0.27399597417737204,3.649688660581003
390068,UPMC LITITZ,PA,Nonprofit,89705941.0,252917610.0,0.3546844405180011,2.8194075797053397
100254,HCA FLORIDA CAPITAL HOSPITAL,FL,For-profit,253095133.0,1637417442.0,0.15456970623866115,6.469573012294947
30030,ABRAZO CENTRAL CAMPUS,AZ,For-profit,94171926.0,504432827.0,0.1866887342762092,5.356509614128525
170017,SUSAN B. ALLEN MEMORIAL HOSPITAL,KS,Nonprofit,30238949.0,71501528.0,0.42291332571242396,2.3645506991661644
30154,YUMA COMMUNITY HOSPITAL,AZ,For-profit,12100386.0,251523082.0,0.04810845153368469,20.78636846791499
390100,LANCASTER GENERAL HOSPITAL,PA,Nonprofit,1142525526.0,2365188432.0,0.4830589861433924,2.0701405598180047
330169,MOUNT SINAI HEALTH SYSTEM-BETH ISRAE,NY,Nonprofit,910442337.0,1976640623.0,0.4606008428675302,2.1710772255091206
50102,DOCTORS HOSPITAL OF RIVERSIDE,CA,For-profit,116524081.0,368517078.0,0.3161972346909795,3.1625830029073563
51336,MEE MEMORIAL HOSPITAL,CA,Nonprofit,62577019.0,166740072.0,0.37529682127041425,2.66455760700266
50099,SAN ANTONIO REGIONAL HOSPITAL,CA,Nonprofit,391725899.0,1646215007.0,0.23795549022108994,4.202466600248966
50348,UCI MEDICAL CENTER,CA,Government,1711286953.0,3061218666.0,0.5590214681514686,1.7888400660295338
360027,AKRON GENERAL MEDICAL CENTER,OH,Nonprofit,609930426.0,1868856232.0,0.3263656216868372,3.0640482132629336
440056,JEFFERSON MEMORIAL HOSPITAL,TN,For-profit,53148804.0,317719290.0,0.16728226983007546,5.97791984180867
320021,PRESBYTERIAN HOSPITAL,NM,Nonprofit,1373425137.0,2098876808.0,0.6543619576742686,1.5282061988355757
100223,HCA FL FT WALTON-DESTIN HOSP,FL,For-profit,248582665.0,1875192815.0,0.1325637891802609,7.543538142532988
240006,OLMSTED MEDICAL CENTER,MN,Nonprofit,169138181.0,293711949.0,0.5758641470865048,1.7365206795028736
50231,POMONA VALLEY HOSPITAL MED CTR,CA,Nonprofit,641784009.0,2253301415.0,0.2848194230597419,3.510996508795843
230100,MYMICHIGAN MEDICAL CENTER TAWAS,MI,Nonprofit,50047958.0,103304853.0,0.4844686047808422,2.0641172413068283
100049,HCA FLORIDA HIGHLANDS HOSPITAL,FL,For-profit,79760907.0,436801037.0,0.1826023755525104,5.476380014083842
230244,GARDEN CITY HOSPITAL OSTEOPATHIC,MI,For-profit,112411875.0,291957600.0,0.38502808284490625,2.5972131503010694
390097,HOLY REDEEMER HOSPITAL,PA,Nonprofit,226054702.0,477296085.0,0.473615244508029,2.1114185229378686
230269,COREWELL HEALTH- TROY,MI,Nonprofit,698593356.0,1953611745.0,0.3575906818680597,2.7964934510485095
200050,MAINE COAST MEMORIAL HOSPITAL,ME,Nonprofit,102539200.0,209459360.0,0.4895422195503701,2.0427247335653096
190008,TERREBONNE GENERAL HEALTH SYSTEM,LA,Government,202588529.0,524307660.0,0.386392464683808,2.588042188706548
50770,LLUMC MURRIETA,CA,Nonprofit,280286653.0,605310749.0,0.4630458875264414,2.159613176443332
450236,CHRISTUS MF - SULPHUR SPRINGS,TX,Nonprofit,107439854.0,600935062.0,0.17878779387979862,5.593222995258351
100287,GOOD SAMARITAN HOSPITAL,FL,For-profit,229532217.0,1572482457.0,0.14596806214163063,6.850813700806104
310005,HUNTERDON MEDICAL CENTER,NJ,Nonprofit,257433846.0,687796090.0,0.37428803353621853,2.6717391698370543
240207,FAIRVIEW RIDGES HOSPITAL,MN,Nonprofit,286656315.0,500407818.0,0.57284539667204,1.7456717044590486
50289,SETON MEDICAL CENTER,CA,For-profit,187237624.0,353014745.0,0.5303960433720694,1.8853835968352173
190251,SURGICAL SPECIALTY CENTER BATON ROUG,LA,For-profit,39950489.0,125662843.0,0.3179180738414457,3.145464452262399
