measure_key,measure_name,measure_desc,hcpcs_cd,diagnosis_restricted
vert,Vertebroplasty/kyphoplasty,Vertebroplasty or kyphoplasty for osteoporotic vertebral fractures,22520,True
vert,Vertebroplasty/kyphoplasty,Vertebroplasty or kyphoplasty for osteoporotic vertebral fractures,22521,True
vert,Vertebroplasty/kyphoplasty,Vertebroplasty or kyphoplasty for osteoporotic vertebral fractures,22523,True
vert,Vertebroplasty/kyphoplasty,Vertebroplasty or kyphoplasty for osteoporotic vertebral fractures,22524,True
arth,Arthroscopy for knee OA,Arthroscopic surgery for knee osteoarthritis,29877,True
arth,Arthroscopy for knee OA,Arthroscopic surgery for knee osteoarthritis,29879,True
arth,Arthroscopy for knee OA,Arthroscopic surgery for knee osteoarthritis,29880,True
arth,Arthroscopy for knee OA,Arthroscopic surgery for knee osteoarthritis,29881,True
arth,Arthroscopy for knee OA,Arthroscopic surgery for knee osteoarthritis,G0289,True
rhinoct,CT for sinusitis,CT of sinuses for uncomplicated rhinosinusitis,70486,True
rhinoct,CT for sinusitis,CT of sinuses for uncomplicated rhinosinusitis,70487,True
rhinoct,CT for sinusitis,CT of sinuses for uncomplicated rhinosinusitis,70488,True
sync,Head imaging for syncope,Head imaging in evaluation of syncope,70450,True
sync,Head imaging for syncope,Head imaging in evaluation of syncope,70460,True
sync,Head imaging for syncope,Head imaging in evaluation of syncope,70470,True
sync,Head imaging for syncope,Head imaging in evaluation of syncope,70551,True
sync,Head imaging for syncope,Head imaging in evaluation of syncope,70552,True
sync,Head imaging for syncope,Head imaging in evaluation of syncope,70553,True
renlstent,Renal artery stent,Renal artery angioplasty or stenting,35450,True
renlstent,Renal artery stent,Renal artery angioplasty or stenting,35471,True
renlstent,Renal artery stent,Renal artery angioplasty or stenting,37205,True
renlstent,Renal artery stent,Renal artery angioplasty or stenting,37207,True
renlstent,Renal artery stent,Renal artery angioplasty or stenting,37236,True
renlstent,Renal artery stent,Renal artery angioplasty or stenting,75960,True
renlstent,Renal artery stent,Renal artery angioplasty or stenting,75966,True
ivc,IVC filter,Inferior vena cava filters for PE prevention,37191,False
ivc,IVC filter,Inferior vena cava filters for PE prevention,37192,False
ivc,IVC filter,Inferior vena cava filters for PE prevention,75940,False
stress,Stress test stable CAD,Stress testing for stable coronary disease,0146T,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,0147T,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,0148T,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,0149T,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,75552,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,75553,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,75554,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,75555,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,75556,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,75557,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,75558,True
stress,Stress test stable CAD,Stress testing for stable coronary disease,75559,True
