YEAR,ffs_avg_risk_score,BENES_FFS_CNT,BENES_MA_CNT,MA_PRTCPTN_RATE,BENE_AVG_AGE,BENE_DUAL_PCT,geo_lvl,geo_desc,geo_cd,ffs_risk_score_yoy_pct
2023,0.98,150520.0,69888.0,0.3171,73.0,0.1204,State,DE,10,-1.0101010101010055
2014,1.07,2208281.0,1401254.0,0.3882,73.0,0.1845,State,FL,12,
2015,1.07,2215364.0,1578682.0,0.4161,73.0,0.1792,State,FL,12,0.0
2016,1.07,2242553.0,1674057.0,0.4274,73.0,0.1714,State,FL,12,0.0
2017,1.06,2222673.0,1801714.0,0.4477,73.0,0.1627,State,FL,12,-0.9345794392523366
2018,1.07,2200541.0,1928864.0,0.4671,73.0,0.1515,State,FL,12,0.9433962264151052
2019,1.07,2181847.0,2075549.0,0.4875,73.0,0.1442,State,FL,12,0.0
2020,1.09,2142151.0,2263862.0,0.5138,73.0,0.1383,State,FL,12,1.869158878504673
2021,1.1,2079034.0,2435488.0,0.5395,74.0,0.1282,State,FL,12,0.917431192660545
2022,1.1,2023304.0,2592290.0,0.5616,74.0,0.1201,State,FL,12,0.0
2023,1.11,1963380.0,2729100.0,0.5816,74.0,0.1119,State,FL,12,0.9090909090909038
2014,1.02,948452.0,414452.0,0.3041,70.0,0.2085,State,GA,13,
2015,1.02,942086.0,471338.0,0.3335,70.0,0.2025,State,GA,13,0.0
2016,1.02,942035.0,518474.0,0.355,71.0,0.1946,State,GA,13,0.0
2017,1.02,934137.0,565659.0,0.3772,71.0,0.1884,State,GA,13,0.0
2018,1.01,922694.0,621901.0,0.4026,71.0,0.1814,State,GA,13,-0.9803921568627416
2019,1.02,908154.0,677051.0,0.4271,71.0,0.1725,State,GA,13,0.990099009900991
2020,1.03,877833.0,754641.0,0.4623,72.0,0.1584,State,GA,13,0.9803921568627416
2021,1.01,817181.0,848603.0,0.5094,72.0,0.1433,State,GA,13,-1.9417475728155331
2022,1.0,774650.0,928498.0,0.5452,72.0,0.1309,State,GA,13,-0.990099009900991
2023,0.99,738152.0,998928.0,0.5751,73.0,0.1183,State,GA,13,-1.0000000000000009
2014,0.91,100192.0,108499.0,0.5199,73.0,0.127,State,HI,15,
2015,0.93,103650.0,110113.0,0.5151,73.0,0.129,State,HI,15,2.19780219780219
2016,0.92,106403.0,113466.0,0.5161,73.0,0.1286,State,HI,15,-1.0752688172043001
2017,0.92,108600.0,116165.0,0.5168,73.0,0.1238,State,HI,15,0.0
2018,0.92,109802.0,120526.0,0.5233,73.0,0.1165,State,HI,15,0.0
2019,0.91,110608.0,125045.0,0.5306,73.0,0.1127,State,HI,15,-1.0869565217391353
2020,0.92,110175.0,132003.0,0.5451,74.0,0.1111,State,HI,15,1.098901098901095
2021,0.92,108136.0,141697.0,0.5672,74.0,0.1077,State,HI,15,0.0
2022,0.92,105400.0,151441.0,0.5896,74.0,0.1021,State,HI,15,0.0
2023,0.93,102164.0,158911.0,0.6087,75.0,0.0947,State,HI,15,1.0869565217391353
2014,0.9,459065.0,79950.0,0.1483,73.0,0.1746,State,IA,19,
2015,0.9,464411.0,84977.0,0.1547,73.0,0.1725,State,IA,19,0.0
2016,0.9,457865.0,102575.0,0.183,72.0,0.1744,State,IA,19,0.0
2017,0.92,462030.0,108346.0,0.19,72.0,0.1703,State,IA,19,2.2222222222222143
2018,0.93,459490.0,119687.0,0.2067,73.0,0.1554,State,IA,19,1.0869565217391353
2019,0.92,450594.0,139615.0,0.2366,73.0,0.1366,State,IA,19,-1.0752688172043001
2020,0.91,445420.0,159824.0,0.2641,73.0,0.1329,State,IA,19,-1.0869565217391353
2021,0.92,432488.0,180243.0,0.2942,73.0,0.1286,State,IA,19,1.098901098901095
2022,0.92,416983.0,205367.0,0.33,73.0,0.1239,State,IA,19,0.0
2023,0.91,398632.0,232294.0,0.3682,74.0,0.1068,State,IA,19,-1.0869565217391353
2014,0.86,171598.0,85125.0,0.3316,71.0,0.1954,State,ID,16,
2015,0.87,175590.0,91405.0,0.3423,71.0,0.197,State,ID,16,1.1627906976744207
2016,0.86,184391.0,93818.0,0.3372,71.0,0.1942,State,ID,16,-1.1494252873563204
2017,0.87,193238.0,95891.0,0.3317,71.0,0.1918,State,ID,16,1.1627906976744207
2018,0.86,197580.0,102685.0,0.342,71.0,0.1797,State,ID,16,-1.1494252873563204
2019,0.86,198876.0,112909.0,0.3621,71.0,0.1635,State,ID,16,0.0
2020,0.86,198100.0,128977.0,0.3943,72.0,0.1526,State,ID,16,0.0
2021,0.87,194068.0,145421.0,0.4284,72.0,0.1452,State,ID,16,1.1627906976744207
2022,0.87,187338.0,161917.0,0.4636,72.0,0.1386,State,ID,16,0.0
2023,0.87,179889.0,176605.0,0.4954,73.0,0.1263,State,ID,16,0.0
2014,1.0,1474204.0,239076.0,0.1395,72.0,0.1734,State,IL,17,
2015,0.99,1456942.0,421528.0,0.2244,72.0,0.1732,State,IL,17,-1.0000000000000009
2016,1.0,1472951.0,451565.0,0.2346,72.0,0.1791,State,IL,17,1.0101010101010166
2017,1.0,1446656.0,504016.0,0.2584,72.0,0.1791,State,IL,17,0.0
2018,1.01,1443296.0,541258.0,0.2727,72.0,0.1786,State,IL,17,1.0000000000000009
2019,1.01,1426828.0,592718.0,0.2935,73.0,0.1735,State,IL,17,0.0
2020,1.01,1390858.0,673548.0,0.3263,73.0,0.169,State,IL,17,0.0
2021,1.02,1293397.0,762882.0,0.371,73.0,0.1553,State,IL,17,0.990099009900991
2022,1.03,1237484.0,867590.0,0.4121,73.0,0.1567,State,IL,17,0.9803921568627416
2023,1.03,1182730.0,938425.0,0.4424,74.0,0.152,State,IL,17,0.0
2014,1.0,820426.0,250382.0,0.2338,71.0,0.2058,State,IN,18,
2015,1.0,825116.0,270177.0,0.2467,71.0,0.2094,State,IN,18,0.0
2016,1.01,823889.0,285422.0,0.2573,71.0,0.2127,State,IN,18,1.0000000000000009
2017,1.0,816443.0,319322.0,0.2812,71.0,0.2084,State,IN,18,-0.990099009900991
