ein,filer_name,filer_state,ccn,rpt_rec_num,hcris_name,hcris_state,jaccard,hospital_facilities_cnt,match_type,match_scope,allocation_share,total_costs
470439599,MADONNA REHABILITATION HOSPITAL,NE,283025,791150,MADONNA REHABILITATION HOSPITAL,NE,1.0,3,multi_facility_jaccard,same_state,1.0,178303711.0
251778644,UPMC PINNACLE HOSPITALS,PA,390117,791581,UPMC BEDFORD,PA,1.0,3,system_keyword,multi_state,0.3547,41010622.0
251778644,UPMC PINNACLE HOSPITALS,PA,390104,792125,UPMC KANE,PA,1.0,3,system_keyword,multi_state,0.196,22660763.0
251778644,UPMC PINNACLE HOSPITALS,PA,391301,792135,UPMC MUNCY,PA,1.0,3,system_keyword,multi_state,0.4493,51956174.0
591943502,SHANDS TEACHING HOSPITAL AND CLINICS INC,FL,100113,815433,UF HEALTH SHANDS,FL,1.0,3,system_keyword,same_state,1.0,2076051261.0
344451872,GALION COMMUNITY HOSPITAL,OH,361325,793310,GALION COMMUNITY HOSPITAL,OH,1.0,3,multi_facility_jaccard,same_state,1.0,118521030.0
350983617,COMMUNITY HEALTH NETWORK INC,IN,150074,823276,COMMUNITY HEALTH NETWORK  INC.,IN,1.0,3,multi_facility_jaccard,same_state,1.0,1039134533.0
540715569,CENTRA HEALTH INC,VA,490021,827456,CENTRA HEALTH,VA,1.0,3,multi_facility_jaccard,same_state,1.0,758033377.0
131740126,ST JOHNS RIVERSIDE HOSPITAL,NY,330208,822393,ST. JOHNS RIVERSIDE HOSPITAL,NY,1.0,3,multi_facility_jaccard,same_state,1.0,324399155.0
560554230,THE PRESBYTERIAN HOSPITAL,NC,340053,825865,PRESBYTERIAN HOSPITAL,NC,1.0,3,multi_facility_jaccard,same_state,1.0,1148888375.0
731280067,Parkside Inc,OK,374021,798723,PARKSIDE HOSPITAL  INC.,OK,1.0,3,multi_facility_jaccard,same_state,1.0,23342470.0
710249735,CONWAY REGIONAL MEDICAL CENTER INC,AR,040029,823240,CONWAY REGIONAL MEDICAL CENTER  INC,AR,1.0,3,multi_facility_jaccard,same_state,1.0,213947028.0
362739299,TRINITY MEDICAL CENTER,IL,230059,825808,TRINITY HEALTH GRAND RAPIDS,MI,1.0,3,system_keyword,multi_state,0.8709,686203537.0
362739299,TRINITY MEDICAL CENTER,IL,351334,794197,MERCY MEDICAL CENTER,ND,1.0,3,system_keyword,multi_state,0.0937,73823863.0
362739299,TRINITY MEDICAL CENTER,IL,351333,794640,MERCY HOSPITAL,ND,1.0,3,system_keyword,multi_state,0.0355,27941068.0
310537504,MIAMI VALLEY HOSPITAL,OH,360051,823479,MIAMI VALLEY HOSPITAL,OH,1.0,3,multi_facility_jaccard,same_state,1.0,1292221652.0
951643327,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,CA,050224,826586,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,CA,1.0,2,multi_facility_jaccard,same_state,1.0,1458143498.0
