provider_number,hospital_name,state,ownership,beds,discharges,cmi,teaching,ag_cost_total,med_records_cost,nursing_admin_cost,full_overhead,total_hospital_costs,admin_per_discharge,admin_pct_of_total,overhead_per_discharge,overhead_pct_of_total,commercial_payer_pct,medicare_pct,ag_purchased_services,ag_it,ag_insurance,ag_other
491307,200 MEMORIAL DRIVE,VA,Nonprofit,25,2280,2.0,No,7465085,-1128,0,15444699,43076179,3274.16,17.33,6773.99,35.85,0.485,0.512,0,0,0,0
493028,5700 FITZHUGH AVENUE,VA,For-Profit,40,12281,1.0,No,4414332,52540,0,8928272,18438737,359.44,23.94,727.0,48.42,0.398,0.601,0,0,0,0
513026,120 12TH ST,WV,For-Profit,60,15510,2.0,No,5106522,112679,0,9318001,17980395,329.24,28.4,600.77,51.82,0.28,0.715,0,0,0,0
513028,6900 WEST COUNTRY CLUB DRIVE,WV,For-Profit,66,21657,1.0,No,6700670,91911,0,13633994,26726500,309.4,25.07,629.54,51.01,0.335,0.657,0,0,0,0
030112,2905 WEST WARNER ROAD,AZ,For-Profit,24,874,1.0,No,3960065,20685,0,6625270,28317246,4530.97,13.98,7580.4,23.4,0.609,0.391,0,0,0,0
063037,6500 WEST 104TH AVE,CO,For-Profit,36,11528,1.0,No,2950444,238394,0,6842788,19997837,255.94,14.75,593.58,34.22,0.237,0.716,0,0,0,0
100299,8330 LAKEWOOD RANCH BOULEVARD,FL,For-Profit,100,28334,1.0,No,19357409,2264184,0,42041013,149617782,683.19,12.94,1483.77,28.1,0.622,0.35,0,0,0,0
240066,927 WEST CHURCHILL STREET,MN,Nonprofit,55,9911,1.0,No,30449128,289571,0,41105656,181156233,3072.26,16.81,4147.48,22.69,0.604,0.374,0,0,0,0
250027,17550 EAST MAIN STREET,MS,Nonprofit,14,710,2.0,No,2640930,193419,0,9176960,27329709,3719.62,9.66,12925.3,33.58,0.375,0.614,0,0,0,0
331319,200 OHIO STREET,NY,Nonprofit,25,821,2.0,No,5089643,0,0,8286085,32037929,6199.32,15.89,10092.67,25.86,0.769,0.208,0,0,0,0
361326,230 MEDICAL CENTER DRIVE,OH,Nonprofit,25,1928,2.0,No,5455927,459747,0,11554240,35131214,2829.84,15.53,5992.86,32.89,0.499,0.459,0,0,0,0
363045,7810 BETHANY RD,OH,For-Profit,36,3521,1.0,No,1930333,175497,0,3439155,9204235,548.23,20.97,976.76,37.36,0.365,0.625,0,0,0,0
