hcpcs_cd,modifier,description,status,work_rvu,pe_rvu_nf,pe_rvu_f,mp_rvu,total_rvu_nf,total_rvu_f,conversion_factor
77012,,Ct scan for needle biopsy,A,1.5,2.19,2.19,0.09,3.78,3.78,32.3465
77013,,Ct guide for tissue ablation,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
77014,,Ct scan for therapy guide,A,0.85,2.68,2.68,0.05,3.58,3.58,32.3465
77021,,Mri guidance ndl plmt rs&i,A,1.5,10.89,10.89,0.08,12.47,12.47,32.3465
77022,,Mri gdn parnchyma tiss abltj,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
77046,,Mri breast c- unilateral,A,1.45,4.92,4.92,0.08,6.45,6.45,32.3465
77047,,Mri breast c- bilateral,A,1.6,4.96,4.96,0.09,6.65,6.65,32.3465
77048,,Mri breast c-+ w/cad uni,A,2.1,7.97,7.97,0.15,10.22,10.22,32.3465
77049,,Mri breast c-+ w/cad bi,A,2.3,7.95,7.95,0.16,10.41,10.41,32.3465
77053,,X-ray of mammary duct,A,0.36,1.22,1.22,0.03,1.61,1.61,32.3465
77054,,X-ray of mammary ducts,A,0.45,1.6,1.6,0.03,2.08,2.08,32.3465
77061,,Breast tomosynthesis uni,I,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
77062,,Breast tomosynthesis bi,I,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
77063,,Breast tomosynthesis bi,A,0.6,0.94,0.94,0.03,1.57,1.57,32.3465
77065,,Dx mammo incl cad uni,A,0.81,2.9,2.9,0.06,3.77,3.77,32.3465
77066,,Dx mammo incl cad bi,A,1.0,3.69,3.69,0.06,4.75,4.75,32.3465
77067,,Scr mammo bi incl cad,A,0.76,3.04,3.04,0.05,3.85,3.85,32.3465
77071,,Mnl appl strs jt radiography,A,0.41,1.16,1.16,0.06,1.63,1.63,32.3465
77072,,Bone age studies,A,0.19,0.56,0.56,0.02,0.77,0.77,32.3465
77073,,Bone length studies,A,0.26,1.07,1.07,0.03,1.36,1.36,32.3465
77074,,Radex osseous survey lmtd,A,0.44,1.49,1.49,0.03,1.96,1.96,32.3465
77075,,Radex osseous survey compl,A,0.55,2.37,2.37,0.05,2.97,2.97,32.3465
77076,,Radex osseous survey infant,A,0.7,2.45,2.45,0.06,3.21,3.21,32.3465
77077,,Joint survey single view,A,0.33,1.03,1.03,0.03,1.39,1.39,32.3465
77078,,Ct bone density axial,A,0.25,2.73,2.73,0.02,3.0,3.0,32.3465
77080,,Dxa bone density axial,A,0.2,0.96,0.96,0.02,1.18,1.18,32.3465
77081,,Dxa bone density appendiculr,A,0.2,0.74,0.74,0.02,0.96,0.96,32.3465
77084,,Mri bone marrow blood supply,A,1.6,7.9,7.9,0.1,9.6,9.6,32.3465
77085,,Dxa bone density axl vrt fx,A,0.3,1.29,1.29,0.03,1.62,1.62,32.3465
77086,,Vrt fracture assmt via dxa,A,0.17,0.84,0.84,0.02,1.03,1.03,32.3465
77089,,Tbs dxa cal w/i&r fx risk,A,0.2,0.97,0.97,0.03,1.2,1.2,32.3465
77090,,Tbs techl prep&transmis data,A,0.0,0.08,0.08,0.01,0.09,0.09,32.3465
77091,,Tbs techl calculation only,A,0.0,0.81,0.81,0.01,0.82,0.82,32.3465
77092,,Tbs i&r fx rsk qhp,A,0.2,0.08,0.08,0.01,0.29,0.29,32.3465
