key,ACK_ID,participants,fund_type,broker_tot,broker_comm,broker_fees,premium,covered,sc_total,sc_direct,sc_indirect,broker_pct,admin_per_p
043170243|503,20240717081255NAL0008810098001,751.0,mixed,123750.0,96590.0,27160.0,9388103.0,1444.0,112792.0,112792.0,0.0,0.013181576725351224,150.18908122503328
362757956|510,20240712104303NAL0019684289001,764.0,mixed,109579.0,87560.0,22019.0,7417297.0,1680.0,11555.0,11555.0,0.0,0.014773441052717723,15.12434554973822
382095876|501,20240715142934NAL0000824547001,277.0,mixed,23349.0,23349.0,0.0,670233.0,277.0,123423.0,123423.0,0.0,0.034837138726383214,445.57039711191334
631180533|501,20240409163018NAL0012606067001,514.0,mixed,16706.0,16706.0,0.0,1270288.0,370.0,30797.0,30797.0,0.0,0.013151348355648483,59.916342412451364
486116600|501,20240408090805NAL0022172001001,126.0,self_insured,30910.0,30910.0,0.0,772764.0,120.0,100613.0,0.0,100613.0,0.03999927532856085,798.515873015873
810170300|502,20240523133636NAL0005271233001,801.0,mixed,10000.0,0.0,10000.0,4966568.0,798.0,300312.0,300312.0,0.0,0.0020134628177848365,374.92134831460675
200793410|501,20240516130342NAL0050456928001,1965.0,mixed,39076.0,39076.0,0.0,9827681.0,2496.0,189341.0,189341.0,0.0,0.00397611603388429,96.35674300254453
860124950|502,20240521144956NAL0002714897001,246.0,mixed,48329.0,0.0,48329.0,766510.0,181.0,70592.0,70592.0,0.0,0.06305071036255235,286.9593495934959
311149871|501,20240405091351NAL0017294513001,158.0,mixed,22383.0,15846.0,6537.0,85695.0,158.0,263621.0,255851.0,7770.0,0.26119376859793453,1668.487341772152
660600251|501,20240205084516NAL0018478755001,1286.0,fully_insured,107006.0,107006.0,0.0,943357.0,2623.0,38156.0,38156.0,0.0,0.11343107646415938,29.670295489891135
726073441|501,20240625095059NAL0010388880002,97.0,mixed,169190.0,169190.0,0.0,2033248.0,952.0,37167.0,37167.0,0.0,0.08321168888399251,383.16494845360825
726073441|501,20240625095059NAL0010388880001,108.0,mixed,169190.0,169190.0,0.0,2033248.0,952.0,39939.0,39939.0,0.0,0.08321168888399251,369.80555555555554
