measure_key,measure_name,pos_group,paid,measure_total_paid,share
ctdasym,Carotid imaging asymptomatic,home,1573260.0399999998,223688659.74,0.007033257930145618
ctdasym,Carotid imaging asymptomatic,indep_clinic,1270039.74,223688659.74,0.005677711786892572
ctdasym,Carotid imaging asymptomatic,nf,245470.51,223688659.74,0.0010973757466530387
ctdasym,Carotid imaging asymptomatic,alf,90981.43000000001,223688659.74,0.0004067324204353964
ctdasym,Carotid imaging asymptomatic,indep_lab,77275.85,223688659.74,0.00034546163444235404
ctdasym,Carotid imaging asymptomatic,snf,17729.95,223688659.74,7.926172931881325e-05
ctdasym,Carotid imaging asymptomatic,custodial,16443.260000000002,223688659.74,7.350958255600661e-05
ctdasym,Carotid imaging asymptomatic,fqhc,6151.97,223688659.74,2.750237766702442e-05
ctdasym,Carotid imaging asymptomatic,asc,4540.28,223688659.74,2.0297318627047532e-05
ctdasym,Carotid imaging asymptomatic,rehab_inp,1708.4099999999999,223688659.74,7.637445733662743e-06
ctdasym,Carotid imaging asymptomatic,group_home,850.6999999999999,223688659.74,3.8030537667345045e-06
ctdasym,Carotid imaging asymptomatic,rural_hc,146.35999999999999,223688659.74,6.543022796511838e-07
ctdasym,Carotid imaging asymptomatic,inp_psy,127.94,223688659.74,5.719556822804896e-07
ctdasym,Carotid imaging asymptomatic,rehab_outp,60.36,223688659.74,2.6983933861536935e-07
ctdsync,Carotid imaging for syncope,office,152631484.35999998,223688659.74,0.6823389461826456
ctdsync,Carotid imaging for syncope,er,25488754.63,223688659.74,0.11394746009755853
ctdsync,Carotid imaging for syncope,hopd_on_campus,20689938.67,223688659.74,0.09249435663859104
ctdsync,Carotid imaging for syncope,inpatient,18869940.04,223688659.74,0.0843580540110218
ctdsync,Carotid imaging for syncope,other,2703755.2399999998,223688659.74,0.012087135946644121
ctdsync,Carotid imaging for syncope,home,1573260.0399999998,223688659.74,0.007033257930145618
ctdsync,Carotid imaging for syncope,indep_clinic,1270039.74,223688659.74,0.005677711786892572
ctdsync,Carotid imaging for syncope,nf,245470.51,223688659.74,0.0010973757466530387
ctdsync,Carotid imaging for syncope,alf,90981.43000000001,223688659.74,0.0004067324204353964
ctdsync,Carotid imaging for syncope,indep_lab,77275.85,223688659.74,0.00034546163444235404
ctdsync,Carotid imaging for syncope,snf,17729.95,223688659.74,7.926172931881325e-05
ctdsync,Carotid imaging for syncope,custodial,16443.260000000002,223688659.74,7.350958255600661e-05
ctdsync,Carotid imaging for syncope,fqhc,6151.97,223688659.74,2.750237766702442e-05
ctdsync,Carotid imaging for syncope,asc,4540.28,223688659.74,2.0297318627047532e-05
ctdsync,Carotid imaging for syncope,rehab_inp,1708.4099999999999,223688659.74,7.637445733662743e-06
ctdsync,Carotid imaging for syncope,group_home,850.6999999999999,223688659.74,3.8030537667345045e-06
ctdsync,Carotid imaging for syncope,rural_hc,146.35999999999999,223688659.74,6.543022796511838e-07
ctdsync,Carotid imaging for syncope,inp_psy,127.94,223688659.74,5.719556822804896e-07
ctdsync,Carotid imaging for syncope,rehab_outp,60.36,223688659.74,2.6983933861536935e-07
eeg,EEG for headache,office,62184814.39,87808444.85000001,0.7081871737533681
eeg,EEG for headache,custodial,10409945.72,87808444.85000001,0.11855289930009505
eeg,EEG for headache,inpatient,9212855.8,87808444.85000001,0.10491992900839993
eeg,EEG for headache,hopd_on_campus,3229376.9,87808444.85000001,0.03677752072157328
