hcpcs_cd,phys_paid,phys_alowd,phys_srvcs,hopd_paid,hopd_alowd,hopd_srvcs,combined_paid,combined_alowd,low_value_share_pass1,primary_measure,max_share_v2,primary_measure_v2,low_value_share_v2,lv_paid_v2,lv_alowd_v2,patient_oop_v2,delta_v_pass1_dedup,share_changed
45382,4973932.02989988,6263136.119995541,22914.0,0.0,0.0,0.0,4973932.02989988,6263136.119995541,0.15,colon,0.15,colon,0.15,746089.804484982,939470.4179993311,193380.6135143491,0.0,False
45383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,colon,0.15,colon,0.15,0.0,0.0,0.0,0.0,False
45384,11510464.969828509,14211069.38985597,54350.0,0.0,0.0,0.0,11510464.969828509,14211069.38985597,0.15,colon,0.15,colon,0.15,1726569.7454742764,2131660.4084783955,405090.6630041192,0.0,False
45385,434171231.70172477,528191609.7944539,1522156.0,0.0,0.0,0.0,434171231.70172477,528191609.7944539,0.15,colon,0.15,colon,0.15,65125684.75525871,79228741.46916808,14103056.713909373,0.0,False
45386,424969.24000202003,541409.83999558,2234.0,0.0,0.0,0.0,424969.24000202003,541409.83999558,0.15,colon,0.15,colon,0.15,63745.386000303,81211.475999337,17466.089999033997,0.0,False
45387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,colon,0.15,colon,0.15,0.0,0.0,0.0,0.0,False
45388,8148584.59989395,10062978.14005545,22960.0,0.0,0.0,0.0,8148584.59989395,10062978.14005545,0.15,colon,0.15,colon,0.15,1222287.6899840925,1509446.7210083173,287159.0310242248,0.0,False
45389,94425.73000168,119827.47000056,392.0,319583.4799999995,401339.16999999975,75.0,414009.2100016795,521166.64000055974,0.15,colon,0.15,colon,0.15,62101.38150025192,78174.99600008396,16073.614499832045,0.0,False
45390,13183088.570093058,16180495.830066621,33328.0,34484451.58999989,42321632.0899998,16298.0,47667540.16009295,58502127.92006642,0.15,colon,0.15,colon,0.15,7150131.024013942,8775319.188009962,1625188.1639960203,0.0,False
45391,125109.29000059,160074.42000053,707.0,0.0,0.0,0.0,125109.29000059,160074.42000053,0.15,colon,0.15,colon,0.15,18766.3935000885,24011.163000079498,5244.769499990998,0.0,False
