hcpcs_cd,phys_paid,phys_alowd,phys_srvcs,hopd_paid,hopd_alowd,hopd_srvcs,combined_paid,combined_alowd,low_value_share_pass1,primary_measure,max_share_v2,primary_measure_v2,low_value_share_v2,lv_paid_v2,lv_alowd_v2,patient_oop_v2,delta_v_pass1_dedup,share_changed,weighted_commercial_mult,weighted_medicaid_mult,ma_eq,comm_eq,medicaid_eq
45341,185059.49999285,239410.54000465,1715.0,0.0,0.0,0.0,185059.49999285,239410.54000465,0.15,colon,0.15,colon,0.15,27758.9249989275,35911.5810006975,8152.656001769999,0.0,False,1.830620037671234,0.5475716977442289,26607.22491918477,33030.428812712256,4560.000506765234
45342,55667.28000066001,71617.19000097,393.0,0.0,0.0,0.0,55667.28000066001,71617.19000097,0.15,colon,0.15,colon,0.15,8350.092000099,10742.5785001455,2392.4865000464997,0.0,False,1.9084560229995071,0.5451196286220559,8003.652012860852,10358.25919062281,1365.5397150161903
45343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,colon,0.15,colon,0.15,0.0,0.0,0.0,0.0,False,1.43,0.7,0.0,0.0,0.0
45344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,colon,0.15,colon,0.15,0.0,0.0,0.0,0.0,False,1.43,0.7,0.0,0.0,0.0
45345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,colon,0.15,colon,0.15,0.0,0.0,0.0,0.0,False,1.43,0.7,0.0,0.0,0.0
45378,58925314.79974557,76658141.86936966,322517.0,0.0,0.0,0.0,58925314.79974557,76658141.86936966,0.15,colon,0.15,colon,0.15,8838797.219961835,11498721.280405449,2659924.0604436137,0.0,False,1.5209656399606726,0.6088136729550653,8472081.165091079,8738279.465592213,1614354.1799969955
45379,151626.52000206,190546.39000463,1020.0,0.0,0.0,0.0,151626.52000206,190546.39000463,0.15,colon,0.15,colon,0.15,22743.978000308998,28581.958500694498,5837.9805003855,0.0,False,1.7199224051852755,0.5652220987720779,21800.344870508947,25426.620274752087,3856.6196939281854
45380,253961581.4231959,312111886.13479656,1337772.0,0.0,0.0,0.0,253961581.4231959,312111886.13479656,0.15,colon,0.15,colon,0.15,38094237.213479385,46816782.92021948,8722545.706740096,0.0,False,1.3932446586783303,0.6308481655785678,36513731.62696269,34498485.14066853,7209503.899571485
45381,7507827.910037382,9137332.58018082,85316.0,0.0,0.0,0.0,7507827.910037382,9137332.58018082,0.15,colon,0.15,colon,0.15,1126174.186505607,1370599.887027123,244425.70052151592,0.0,False,1.3287314829951062,0.6412767831403248,1079449.9383420767,972649.0130151617,216656.80787339635
45382,4973932.02989988,6263136.119995541,22914.0,0.0,0.0,0.0,4973932.02989988,6263136.119995541,0.15,colon,0.15,colon,0.15,746089.804484982,939470.4179993311,193380.6135143491,0.0,False,1.7520789280389513,0.5635868106825243,715135.014724435,849685.3461608448,126145.91201773174
45383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,colon,0.15,colon,0.15,0.0,0.0,0.0,0.0,False,1.43,0.7,0.0,0.0,0.0
45384,11510464.969828509,14211069.38985597,54350.0,0.0,0.0,0.0,11510464.969828509,14211069.38985597,0.15,colon,0.15,colon,0.15,1726569.7454742764,2131660.4084783955,405090.6630041192,0.0,False,1.4594213779111362,0.6251227855035695,1654935.4688003438,1637865.3180498364,323795.4265971206
45385,434171231.70172477,528191609.7944539,1522156.0,0.0,0.0,0.0,434171231.70172477,528191609.7944539,0.15,colon,0.15,colon,0.15,65125684.75525871,79228741.46916808,14103056.713909373,0.0,False,1.4327076739030191,0.6235116915610984,62423661.66434904,60648944.406081215,12181987.75974786
45386,424969.24000202003,541409.83999558,2234.0,0.0,0.0,0.0,424969.24000202003,541409.83999558,0.15,colon,0.15,colon,0.15,63745.386000303,81211.475999337,17466.089999033997,0.0,False,1.6018499168035376,0.5933579740277822,61100.63062369469,66371.8518197766,11347.149927227621
45387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,colon,0.15,colon,0.15,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
45388,8148584.59989395,10062978.14005545,22960.0,0.0,0.0,0.0,8148584.59989395,10062978.14005545,0.15,colon,0.15,colon,0.15,1222287.6899840925,1509446.7210083173,287159.0310242248,0.0,False,1.5105227531705754,0.6432104893793156,1171575.7539102845,1200090.688316828,235856.4789710944
45389,94425.73000168,119827.47000056,392.0,319583.4799999995,401339.16999999975,75.0,414009.2100016795,521166.64000055974,0.15,colon,0.15,colon,0.15,62101.38150025192,78174.99600008396,16073.614499832045,0.0,False,1.940599929577704,0.516291187274037,59524.83482098616,78334.05876794356,9618.718795836894
45390,13183088.570093058,16180495.830066621,33328.0,34484451.58999989,42321632.0899998,16298.0,47667540.16009295,58502127.92006642,0.15,colon,0.15,colon,0.15,7150131.024013942,8775319.188009962,1625188.1639960203,0.0,False,1.5889960795150788,0.5923289287141086,6853476.651741024,7384994.6073652385,1270568.8348859071
45391,125109.29000059,160074.42000053,707.0,0.0,0.0,0.0,125109.29000059,160074.42000053,0.15,colon,0.15,colon,0.15,18766.3935000885,24011.163000079498,5244.769499990998,0.0,False,2.0241791205941273,0.514195606117092,17987.787812318875,24691.252229626116,2894.8791241229583
45392,34675.82999978,43882.1199995,146.0,0.0,0.0,0.0,34675.82999978,43882.1199995,0.15,colon,0.15,colon,0.15,5201.374499967,6582.317999925,1380.9434999579998,0.0,False,2.0228573625009343,0.5130614341631079,4985.572791989646,6839.06515654886,800.5873981717461
62311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,spinj,0.35,spinj,0.35,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
64475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,spinj,0.35,spinj,0.35,0.0,0.0,0.0,0.0,False,1.43,0.7,0.0,0.0,0.0
64483,178739656.00183094,229631698.34135145,903960.0,0.0,0.0,0.0,178739656.00183094,229631698.34135145,0.35,spinj,0.35,spinj,0.35,62558879.600640826,80371094.419473,17812214.81883218,0.0,False,1.3735309476515396,0.6778829240136641,59963351.61720999,55852262.168226406,12722278.86801035
64493,113123021.8486673,144863056.33913794,625203.0,0.0,0.0,0.0,113123021.8486673,144863056.33913794,0.35,spinj,0.35,spinj,0.35,39593057.64703355,50702069.71869828,11109012.071664728,0.0,False,1.3687859793568504,0.6768974935391686,37950366.95742259,35226374.42163259,8040132.444848647
70450,156288521.42905042,207182606.56303713,4973151.7,0.0,0.0,0.0,156288521.42905042,207182606.56303713,0.6,sync,0.6,sync,0.6,93773112.85743025,124309563.93782227,30536451.080392018,0.0,False,2.1339734427341277,0.5218852569438638,89882526.2601539,130071066.11217313,14681641.529407775
70460,972651.150009095,1272623.429991689,19477.0,0.0,0.0,0.0,972651.150009095,1272623.429991689,0.6,sync,0.6,sync,0.6,583590.6900054569,763574.0579950134,179983.36798955651,0.0,False,1.820470723210902,0.6062301545414077,559377.8847818264,690566.3475706993,106137.08225728046
70470,3912976.270004907,5162262.450026078,62791.0,0.0,0.0,0.0,3912976.270004907,5162262.450026078,0.6,sync,0.6,sync,0.6,2347785.762002944,3097357.470015647,749571.7080127029,0.0,False,1.7479349755190428,0.6322089644976734,2250377.629324099,2667454.9514798727,445287.36163747864
70486,24570468.370152853,32550323.46920903,516361.0,0.0,0.0,0.0,24570468.370152853,32550323.46920903,0.5,rhinoct,0.5,rhinoct,0.5,12285234.185076427,16275161.734604515,3989927.5495280884,0.0,False,1.75491164559768,0.647141801423992,11775527.66037645,14013675.351185476,2385086.57443379
70487,1458969.680002058,1955162.659997724,32374.0,0.0,0.0,0.0,1458969.680002058,1955162.659997724,0.5,rhinoct,0.5,rhinoct,0.5,729484.840001029,977581.329998862,248096.48999783304,0.0,False,1.998234464234974,0.5601988874564259,699218.9796180077,947493.1364775447,122596.97873547158
70488,274342.85999410204,361474.789994134,3750.0,0.0,0.0,0.0,274342.85999410204,361474.789994134,0.5,rhinoct,0.5,rhinoct,0.5,137171.42999705102,180737.394997067,43565.965000015975,0.0,False,1.6769057775836655,0.6603799111775441,131480.2749227053,149515.31626295432,27175.57702726478
70498,49509218.63032726,63925902.0597625,749918.0,0.0,0.0,0.0,49509218.63032726,63925902.0597625,0.55,ctdsync,0.55,ctdsync,0.55,27230070.246679995,35159246.13286938,7929175.8861893825,0.0,False,2.090929032590347,0.5307049086316962,26100312.013041146,37008493.884867564,4335339.582689692
