HCPCS_CD,mod1,paid,services,hcpcs_total_paid,paid_share
29880,80,2162.93,41.0,25542269.15,8.468041689240441e-05
29880,81,0.0,0.0,25542269.15,0.0
29880,82,217.01999999999998,0.0,25542269.15,8.496504313125993e-06
29880,AG,0.0,0.0,25542269.15,0.0
29880,AQ,5647.86,0.0,25542269.15,0.00022111817735661124
29880,AS,130611.4,3187.0,25542269.15,0.005113539413157425
29880,CR,585.93,0.0,25542269.15,2.2939622026494855e-05
29880,ER,1011.65,0.0,25542269.15,3.960689608503323e-05
29880,GA,1042.21,0.0,25542269.15,4.080334420875054e-05
29880,GC,8429.19,0.0,25542269.15,0.00033000944240696016
29880,GLOBAL,1082367.54,1322.0,25542269.15,0.04237554359965705
29880,GW,116.97,0.0,25542269.15,4.579467834791021e-06
29880,GY,0.0,0.0,25542269.15,0.0
29880,JZ,127.17,0.0,25542269.15,4.978805886555306e-06
29880,LT,10846091.33,15126.0,25542269.15,0.42463303735095126
29880,RT,12367708.12,17495.0,25542269.15,0.4842055358264831
29880,SG,482923.51,299.0,25542269.15,0.018906836630840217
29880,XE,863.8499999999999,0.0,25542269.15,3.382040941338996e-05
29880,XP,1278.68,0.0,25542269.15,5.006133137548588e-05
29880,XS,14038.9,0.0,25542269.15,0.0005496340171483942
29880,XU,5422.4,0.0,25542269.15,0.000212291240381045
29881,22,15668.28,0.0,31575426.23,0.0004962175296026084
29881,50,50070.61,0.0,31575426.23,0.0015857461316682914
29881,51,141780.59,291.0,31575426.23,0.004490219354989844
29881,52,912.74,0.0,31575426.23,2.8906656504063288e-05
29881,53,273.4,0.0,31575426.23,8.658632127671519e-06
29881,54,1900.82,0.0,31575426.23,6.0199345723923106e-05
29881,58,9501.72,0.0,31575426.23,0.0003009213535484236
29881,59,293252.16,226.0,31575426.23,0.009287353965197764
29881,73,805.72,0.0,31575426.23,2.551731191626736e-05
29881,74,2115.14,0.0,31575426.23,6.698690255494929e-05
29881,76,306.56,0.0,31575426.23,9.708815892680983e-06
29881,78,10822.06,0.0,31575426.23,0.00034273678274904473
29881,79,148995.81,0.0,31575426.23,0.004718726800857503
29881,80,3885.98,65.0,31575426.23,0.00012306975594546075
29881,81,0.0,0.0,31575426.23,0.0
29881,82,570.06,0.0,31575426.23,1.8053913060352692e-05
29881,A1,0.0,0.0,31575426.23,0.0
29881,A2,1132.61,0.0,31575426.23,3.586998293387724e-05
29881,AG,1698.84,0.0,31575426.23,5.3802599135967385e-05
29881,AQ,4756.33,0.0,31575426.23,0.00015063391275716123
29881,AS,166932.91,4306.0,31575426.23,0.005286798309040593
29881,CG,414.6,0.0,31575426.23,1.3130464082416284e-05
29881,CR,442.34,0.0,31575426.23,1.4008995374375346e-05
29881,F3,1278.68,0.0,31575426.23,4.0496048752783535e-05
29881,F9,1056.68,0.0,31575426.23,3.3465264801272644e-05
29881,GC,21224.94,0.0,31575426.23,0.0006721980519089259
29881,GLOBAL,1238926.81,1420.0,31575426.23,0.03923705735515577
29881,GW,235.65,0.0,31575426.23,7.46308215393487e-06
29881,GY,0.0,0.0,31575426.23,0.0
29881,LT,14490493.74,21692.0,31575426.23,0.4589168055705451
29881,PT,1147.01,0.0,31575426.23,3.632603378478606e-05
29881,RT,14130049.12,20977.0,31575426.23,0.4475014530943989
29881,SG,774459.57,569.0,31575426.23,0.024527287909234342
29881,XE,785.68,0.0,31575426.23,2.4882641148752592e-05
29881,XS,54754.6,0.0,31575426.23,0.0017340890223035952
29881,XU,4774.47,0.0,31575426.23,0.00015120841014851441
3100F,26,0.0,0.0,0.0,
3100F,59,0.0,0.0,0.0,
3100F,8P,0.0,59.0,0.0,
3100F,GA,0.0,0.0,0.0,
3100F,GLOBAL,0.0,5214.0,0.0,
3100F,MC,0.0,0.0,0.0,
3100F,ME,0.0,185.0,0.0,
3100F,MF,0.0,0.0,0.0,
3100F,MG,0.0,88.0,0.0,
3100F,MH,0.0,0.0,0.0,
3100F,XS,0.0,17.0,0.0,
35301,22,137349.05,0.0,19875991.14,0.006910299417652084
35301,50,8306.89,0.0,19875991.14,0.00041793588764902213
35301,51,16944.13,0.0,19875991.14,0.0008524923301007268
35301,52,3424.11,0.0,19875991.14,0.00017227367309039765
35301,53,13531.38,0.0,19875991.14,0.0006807902008352373
35301,58,177555.78,0.0,19875991.14,0.008933178665121904
35301,59,21517.52,0.0,19875991.14,0.0010825885284631899
35301,62,32678.25,0.0,19875991.14,0.0016441066898161235
35301,76,3443.5,0.0,19875991.14,0.00017324922192534244
35301,78,82558.28,0.0,19875991.14,0.004153668585304068
35301,79,409688.21,0.0,19875991.14,0.020612215366483607
35301,80,182619.79,489.0,19875991.14,0.00918795891554216
35301,81,239.54,0.0,19875991.14,1.2051726040364897e-05
35301,82,49343.26,81.0,19875991.14,0.0024825559466414614
35301,AG,4469.72,0.0,19875991.14,0.0002248803578406103
35301,AQ,4197.77,0.0,19875991.14,0.00021119802129273844
35301,AS,584139.84,4130.0,19875991.14,0.02938921817209061
35301,GC,433813.08999999997,129.0,19875991.14,0.021825985277632798
35301,GLOBAL,2422893.22,2013.0,19875991.14,0.12190049809007915
35301,GW,1596.06,0.0,19875991.14,8.030090116049428e-05
35301,LT,7412543.59,7422.0,19875991.14,0.3729395700465179
35301,Q1,1705.08,0.0,19875991.14,8.578591064918335e-05
35301,Q6,7227.459999999999,0.0,19875991.14,0.0003636276525327531
35301,RT,7859497.7,7905.0,19875991.14,0.39542670574967864
35301,XP,1913.69,0.0,19875991.14,9.628148787753988e-05
35301,XS,1845.35,0.0,19875991.14,9.284316877593456e-05
35301,XU,948.88,0.0,19875991.14,4.7740009205900663e-05
37191,22,839.51,0.0,3871249.97,0.00021685760581355586
37191,51,108691.63,217.0,3871249.97,0.028076624047090402
37191,52,942.63,0.0,3871249.97,0.00024349499704355178
37191,53,5029.78,0.0,3871249.97,0.0012992651053220414
37191,58,3934.64,0.0,3871249.97,0.0010163745638982853
37191,59,24612.94,0.0,3871249.97,0.0063578792872422026
37191,76,343.32,0.0,3871249.97,8.868453410669319e-05
37191,78,6771.53,0.0,3871249.97,0.0017491843855280674
37191,79,19571.01,0.0,3871249.97,0.00505547566074634
37191,80,0.0,0.0,3871249.97,0.0
37191,AG,892.6899999999999,0.0,3871249.97,0.00023059477091839665
37191,AQ,2939.2,0.0,3871249.97,0.0007592379781148567
37191,AS,0.0,0.0,3871249.97,0.0
37191,CC,348.56,0.0,3871249.97,9.003810208618484e-05
37191,CR,4093.4700000000003,0.0,3871249.97,0.0010574026559178765
37191,ET,467.5,0.0,3871249.97,0.00012076202870464601
37191,GC,349681.8,1151.0,3871249.97,0.090327879292176
37191,GLOBAL,2782074.23,10913.0,3871249.97,0.7186501134154352
37191,GV,2253.85,0.0,3871249.97,0.0005822021356063453
37191,GW,10162.69,0.0,3871249.97,0.0026251701850190778
37191,GZ,0.0,0.0,3871249.97,0.0
37191,LT,10343.58,0.0,3871249.97,0.002671896694906529
37191,Q1,2919.4900000000002,0.0,3871249.97,0.000754146599321769
37191,Q6,14152.82,23.0,3871249.97,0.00365587862051698
37191,RT,38461.92,0.0,3871249.97,0.009935271630108659
37191,X4,224815.07,850.0,3871249.97,0.058072992377704816
37191,X5,248192.08,1098.0,3871249.97,0.06411161302508192
37191,XE,920.86,0.0,3871249.97,0.0002378714903806638
37191,XP,37.18,0.0,3871249.97,9.604133106393024e-06
37191,XS,2799.38,0.0,3871249.97,0.0007231204447384213
37191,XU,4956.61,0.0,3871249.97,0.0012803642333641398
37192,51,281.52,0.0,9622.92,0.029255153321445047
37192,52,177.21,0.0,9622.92,0.018415408212891723
37192,79,221.6,0.0,9622.92,0.02302835314021108
37192,GC,254.52,0.0,9622.92,0.02644935217169009
37192,GLOBAL,6188.09,0.0,9622.92,0.6430574087698953
37192,LT,0.0,0.0,9622.92,0.0
37192,RT,0.0,0.0,9622.92,0.0
37192,X5,854.28,0.0,9622.92,0.08877554837824693
37192,XU,1645.6999999999998,0.0,9622.92,0.1710187760056199
37236,22,23997.41,18.0,5530691.39,0.0043389530002324
37236,50,149405.39,0.0,5530691.39,0.02701387213000869
37236,51,75477.29,23.0,5530691.39,0.013646989983290317
37236,52,1289.86,0.0,5530691.39,0.0002332185813752302
37236,53,4963.42,0.0,5530691.39,0.0008974321020649102
37236,58,21472.82,0.0,5530691.39,0.0038824838498175544
37236,59,244820.37,58.0,5530691.39,0.04426578030418725
37236,62,0.0,0.0,5530691.39,0.0
37236,78,50702.42,0.0,5530691.39,0.00916746504635472
37236,79,66540.13,0.0,5530691.39,0.012031069048674584
37236,80,3591.12,0.0,5530691.39,0.0006493076085375286
37236,82,2055.39,13.0,5530691.39,0.0003716334640758178
37236,AG,513.8,0.0,5530691.39,9.289977758097256e-05
37236,AO,733.92,0.0,5530691.39,0.00013269950323516424
37236,AQ,2598.67,0.0,5530691.39,0.00046986349748218375
37236,AS,4213.41,0.0,5530691.39,0.0007618233784691429
37236,CR,2045.0500000000002,0.0,5530691.39,0.00036976389673407545
37236,GC,224727.55,107.0,5530691.39,0.04063281317889625
37236,GLOBAL,2214315.78,1746.0,5530691.39,0.40036871050221445
37236,GV,756.3900000000001,0.0,5530691.39,0.00013676228642365093
37236,GW,968.54,0.0,5530691.39,0.0001751209625890914
37236,GZ,0.0,0.0,5530691.39,0.0
37236,LD,345.37,0.0,5530691.39,6.244608054328629e-05
37236,LT,1327241.55,468.0,5530691.39,0.23997751029821973
37236,Q0,548.59,0.0,5530691.39,9.919013036813108e-05
37236,Q1,1087.84,0.0,5530691.39,0.00019669150261519112
37236,Q6,1803.1399999999999,0.0,5530691.39,0.0003260243381614536
37236,RT,879453.98,185.0,5530691.39,0.1590133887401734
37236,SG,10385.64,0.0,5530691.39,0.0018778194745738652
37236,X4,8378.23,0.0,5530691.39,0.0015148612369058618
37236,X5,18445.16,11.0,5530691.39,0.003335055004759541
37236,XE,6481.77,0.0,5530691.39,0.001171963782271352
37236,XS,125340.64,12.0,5530691.39,0.022662743436856276
37236,XU,55990.75,0.0,5530691.39,0.01012364387230798
45330,22,1689.35,0.0,2663462.78,0.0006342682964017241
45330,51,237462.79,5865.0,2663462.78,0.08915566298996677
45330,52,23001.59,125.0,2663462.78,0.008635972003333195
45330,53,29497.98,374.0,2663462.78,0.01107504870032387
45330,58,27438.3,46.0,2663462.78,0.01030173960230824
45330,59,49597.19,436.0,2663462.78,0.018621318973340413
45330,62,0.0,0.0,2663462.78,0.0
45330,73,227.93,0.0,2663462.78,8.557656660777517e-05
45330,74,35720.21,129.0,2663462.78,0.013411191726884203
45330,76,139.96,0.0,2663462.78,5.2548134350125974e-05
45330,77,148.45,0.0,2663462.78,5.573571409171335e-05
45330,78,11251.55,0.0,2663462.78,0.004224406695106886
45330,79,9664.64,11.0,2663462.78,0.0036285996082137855
45330,80,0.0,0.0,2663462.78,0.0
45330,82,0.0,0.0,2663462.78,0.0
45330,95,365.92,0.0,2663462.78,0.00013738506231350455
45330,AG,2294.67,0.0,2663462.78,0.0008615363493083992
45330,AI,44.98,0.0,2663462.78,1.688778996190816e-05
45330,AQ,2871.75,0.0,2663462.78,0.0010782016634750947
45330,AR,22.45,0.0,2663462.78,8.428876937413032e-06
45330,AS,0.0,13.0,2663462.78,0.0
45330,CC,649.68,0.0,2663462.78,0.00024392306319369705
45330,CR,4840.21,24.0,2663462.78,0.0018172621131953646
45330,FS,41.92,0.0,2663462.78,1.573890963101801e-05
45330,GA,2301.17,0.0,2663462.78,0.0008639767813838195
45330,GC,55275.0,400.0,2663462.78,0.020753058918285317
45330,GLOBAL,2043760.4,28775.0,2663462.78,0.7673320668667275
45330,GV,540.17,0.0,2663462.78,0.00020280741448919364
45330,GW,3546.39,0.0,2663462.78,0.0013314959858384055
45330,GY,0.0,0.0,2663462.78,0.0
45330,GZ,0.0,0.0,2663462.78,0.0
45330,KX,1475.6,0.0,2663462.78,0.0005540156262292504
45330,PD,83.43,0.0,2663462.78,3.132388431574028e-05
45330,PO,46.09,0.0,2663462.78,1.7304540670172237e-05
45330,PT,59440.48,192.0,2663462.78,0.022316992918519404
45330,Q1,1898.0,0.0,2663462.78,0.0007126061660227143
45330,Q6,1550.15,0.0,2663462.78,0.0005820055048788781
