hcpcs_cd,max_share,max_share_measure,n_measures,phys_paid,phys_alowd,phys_srvcs,hopd_paid,hopd_alowd,hopd_srvcs,combined_paid,combined_alowd,lv_paid,lv_alowd,patient_oop
77081,0.3,bmd,1,2331786.299991619,2331786.299991619,110683.0,0.0,0.0,0.0,2331786.299991619,2331786.299991619,699535.8899974857,699535.8899974857,0.0
77083,0.3,bmd,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78350,0.3,bmd,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78351,0.3,bmd,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78451,0.4,preopst,2,2117075.630001984,2764125.060013422,22185.0,0.0,0.0,0.0,2117075.630001984,2764125.060013422,846830.2520007937,1105650.0240053688,258819.77200457512
78452,0.4,preopst,2,251875907.60094687,322548979.41937274,1336466.0,0.0,0.0,0.0,251875907.60094687,322548979.41937274,100750363.04037875,129019591.7677491,28269228.72737035
78453,0.4,preopst,2,33815.659999507,44207.66000040899,860.0,0.0,0.0,0.0,33815.659999507,44207.66000040899,13526.2639998028,17683.0640001636,4156.800000360798
78454,0.4,preopst,2,231915.43000011,310375.100000125,4739.0,0.0,0.0,0.0,231915.43000011,310375.100000125,92766.17200004401,124150.04000005001,31383.868000005998
78460,0.4,preopst,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78461,0.4,preopst,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78464,0.4,preopst,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78465,0.4,preopst,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78472,0.4,preopst,2,746436.340005408,965339.3000040661,9424.0,0.0,0.0,0.0,746436.340005408,965339.3000040661,298574.53600216325,386135.72000162647,87561.18399946322
78473,0.4,preopst,2,41331.929999515996,53478.81000058501,344.0,0.0,0.0,0.0,41331.929999515996,53478.81000058501,16532.7719998064,21391.524000234003,4858.752000427605
78481,0.4,preopst,2,85766.18000078,110156.18000146,716.0,0.0,0.0,0.0,85766.18000078,110156.18000146,34306.472000312,44062.472000584006,9756.000000272004
78483,0.4,preopst,2,8145.200000067,10237.530000045,141.0,0.0,0.0,0.0,8145.200000067,10237.530000045,3258.0800000268,4095.0120000180004,836.9319999912004
78491,0.4,preopst,2,124065.150000654,156654.519999182,231.0,0.0,0.0,0.0,124065.150000654,156654.519999182,49626.060000261605,62661.807999672805,13035.7479994112
78492,0.4,preopst,2,104906262.94319409,131983052.70442489,100344.0,0.0,0.0,0.0,104906262.94319409,131983052.70442489,41962505.17727764,52793221.08176996,10830715.904492319
81240,0.35,hyperco,1,516724.97999861004,516724.97999861004,8035.0,0.0,0.0,0.0,516724.97999861004,516724.97999861004,180853.74299951352,180853.74299951352,0.0
81241,0.35,hyperco,1,1551127.5600090001,1551127.5600090001,21587.0,0.0,0.0,0.0,1551127.5600090001,1551127.5600090001,542894.64600315,542894.64600315,0.0
82270,0.15,colon,2,566156.7800052505,566156.7800052505,132660.0,0.0,0.0,0.0,566156.7800052505,566156.7800052505,84923.51700078757,84923.51700078757,0.0
82652,0.35,vitd,1,6197808.480000336,6197808.480000336,164562.0,0.0,0.0,0.0,6197808.480000336,6197808.480000336,2169232.968000117,2169232.968000117,0.0
83090,0.75,homocy,2,4452943.689896139,4452943.689896139,253867.0,0.0,0.0,0.0,4452943.689896139,4452943.689896139,3339707.7674221043,3339707.7674221043,0.0
83970,0.4,pth,1,69721721.9803886,69721721.9803886,1728163.0,0.0,0.0,0.0,69721721.9803886,69721721.9803886,27888688.79215544,27888688.79215544,0.0
84152,0.8,psa,2,154716.499998646,154716.499998646,8618.0,0.0,0.0,0.0,154716.499998646,154716.499998646,123773.19999891681,123773.19999891681,0.0
84153,0.8,psa,2,57487009.12157839,57487049.58141823,3197288.0,0.0,0.0,0.0,57487009.12157839,57487049.58141823,45989607.29726271,45989639.66513459,32.36787187308073
84154,0.8,psa,2,8546011.539778912,8546011.539778912,474976.0,0.0,0.0,0.0,8546011.539778912,8546011.539778912,6836809.2318231305,6836809.2318231305,0.0
84480,0.5,t3,1,8135039.159932447,8135039.159932447,586129.0,0.0,0.0,0.0,8135039.159932447,8135039.159932447,4067519.5799662233,4067519.5799662233,0.0
84481,0.5,t3,1,24624052.520419665,24624055.91050378,1486987.0,0.0,0.0,0.0,24624052.520419665,24624055.91050378,12312026.260209832,12312027.95525189,1.6950420569628477
85300,0.35,hyperco,1,180216.399992493,180216.399992493,15551.0,0.0,0.0,0.0,180216.399992493,180216.399992493,63075.73999737255,63075.73999737255,0.0
85303,0.35,hyperco,1,220743.01999559198,220743.01999559198,16307.0,0.0,0.0,0.0,220743.01999559198,220743.01999559198,77260.05699845719,77260.05699845719,0.0
85306,0.35,hyperco,1,321783.14000574604,321783.14000574604,21471.0,0.0,0.0,0.0,321783.14000574604,321783.14000574604,112624.0990020111,112624.0990020111,0.0
85613,0.35,hyperco,1,508808.450001688,508808.450001688,54302.0,0.0,0.0,0.0,508808.450001688,508808.450001688,178082.95750059077,178082.95750059077,0.0
86147,0.35,hyperco,1,5767292.879900753,5767292.879900753,231766.0,0.0,0.0,0.0,5767292.879900753,5767292.879900753,2018552.5079652632,2018552.5079652632,0.0
92920,0.4,pci,1,6555008.97005974,8243854.7099993,18433.0,24667125.11999992,30729972.989999935,5608.0,31222134.09005966,38973827.699999236,12488853.636023864,15589531.079999695,3100677.4439758305
92924,0.4,pci,1,693308.72999316,871105.68000495,1531.0,5989354.989999995,6947962.099999983,603.0,6682663.7199931545,7819067.780004933,2673065.487997262,3127627.112001973,454561.6240047114
92928,0.4,pci,1,81689281.20950831,102840851.25011106,192204.0,30221746.360000007,35775890.86999968,3535.0,111911027.56950831,138616742.12011075,44764411.02780333,55446696.848044306,10682285.820240974
92933,0.4,pci,1,6627529.4299539905,8327822.709972749,13480.0,4085783.759999976,4527050.219999995,278.0,10713313.189953966,12854872.929972745,4285325.275981586,5141949.171989098,856623.8960075118
