HCPCS_CD,pos_group,paid,services,hcpcs_total_paid,paid_share
45334,other,2585.31,0.0,384196.62,0.006729132598824008
45335,asc,166730.92,103.0,219912.18,0.7581704660469466
45335,er,133.76999999999998,0.0,219912.18,0.0006082882721639156
45335,hopd_on_campus,25014.27,116.0,219912.18,0.11374663286044458
45335,inpatient,9581.91,46.0,219912.18,0.04357152932593365
45335,office,16865.37,0.0,219912.18,0.07669138653438841
45335,other,1585.94,0.0,219912.18,0.0072116969601229005
45337,asc,95.12,0.0,143707.5,0.0006619000400118297
45337,er,2455.57,0.0,143707.5,0.017087277977836927
45337,hopd_on_campus,8873.74,0.0,143707.5,0.0617486213315241
45337,inpatient,132100.19,836.0,143707.5,0.9192296157124715
45337,office,182.88,0.0,143707.5,0.0012725849381556285
45338,asc,884879.81,1896.0,1152943.73,0.7674960945405376
45338,er,230.25,0.0,1152943.73,0.00019970619034460598
45338,hopd_on_campus,187180.35,805.0,1152943.73,0.16234994399943525
45338,inpatient,34699.82,43.0,1152943.73,0.030096715994977482
45338,office,37047.19,53.0,1152943.73,0.032132695669371485
45338,other,8906.31,0.0,1152943.73,0.0077248436053336264
45340,asc,60428.33,24.0,107600.51,0.5615989180720427
45340,hopd_on_campus,31286.0,100.0,107600.51,0.29076070364350504
45340,inpatient,12227.99,0.0,107600.51,0.11364249109971691
45340,office,2867.11,0.0,107600.51,0.02664587742195646
45340,other,791.08,0.0,107600.51,0.007352009762779006
45341,asc,57128.06,120.0,185212.94,0.30844529545289867
45341,er,93.91,0.0,185212.94,0.0005070380071716371
45341,hopd_on_campus,119975.53,795.0,185212.94,0.6477707767070703
45341,inpatient,7048.7,0.0,185212.94,0.03805727612768309
45341,office,818.1,0.0,185212.94,0.004417077986019768
45341,other,148.64,0.0,185212.94,0.0008025357191565556
45342,asc,7152.73,0.0,55667.28,0.12849073998226607
45342,hopd_on_campus,35489.56,85.0,55667.28,0.6375299817055907
45342,inpatient,7269.88,0.0,55667.28,0.13059520781327918
45342,office,137.14,0.0,55667.28,0.002463565670893207
45342,other,5617.97,16.0,55667.28,0.10092050482797077
45378,asc,36328953.71,169013.0,58765393.74,0.6182031872488225
45378,er,15005.32,0.0,58765393.74,0.00025534279692550224
45378,home,260.95,0.0,58765393.74,4.440538612819307e-06
45378,hopd_on_campus,12469639.74,99418.1,58765393.74,0.21219358786516998
45378,indep_clinic,6201.51,13.0,58765393.74,0.0001055299659428437
45378,indep_lab,0.0,0.0,58765393.74,0.0
45378,inpatient,6170972.09,45436.0,58765393.74,0.1050103078914553
45378,nf,972.81,0.0,58765393.74,1.6554130553503546e-05
45378,office,3234862.27,12448.0,58765393.74,0.055047061954731996
45378,other,537882.25,3579.0,58765393.74,0.009153044262407081
45378,rehab_inp,218.36,0.0,58765393.74,3.7157923414264185e-06
45378,rehab_outp,249.67,0.0,58765393.74,4.248588907693414e-06
45378,rural_hc,0.0,0.0,58765393.74,0.0
45378,snf,175.06,0.0,58765393.74,2.97896412937401e-06
45379,asc,60247.9,38.0,151586.16,0.3974498727324447
45379,er,502.09000000000003,0.0,151586.16,0.0033122416980547564
45379,hopd_on_campus,45164.59,0.0,151586.16,0.2979466595103405
45379,inpatient,42273.25,0.0,151586.16,0.27887275461031535
45379,office,2192.86,0.0,151586.16,0.014466096377136277
45379,other,1205.47,0.0,151586.16,0.007952375071708394
45380,alf,85.74,0.0,253342882.84,3.384346109858927e-07
45380,ambulance_land,0.0,0.0,253342882.84,0.0
45380,asc,200360828.31,873046.0,253342882.84,0.790868194377258
45380,er,22324.75,62.0,253342882.84,8.812069141132853e-05
45380,esrd,0.0,0.0,253342882.84,0.0
45380,fqhc,0.0,0.0,253342882.84,0.0
45380,home,0.0,0.0,253342882.84,0.0
45380,hopd_on_campus,36045645.06,370916.1,253342882.84,0.1422800777188788
45380,indep_clinic,9083.33,37.0,253342882.84,3.585389847220071e-05
45380,indep_lab,0.0,0.0,253342882.84,0.0
45380,inpatient,4532518.83,37303.0,253342882.84,0.017890847294346673
45380,nf,684.8,0.0,253342882.84,2.7030560019027215e-06
45380,office,9609099.51,36588.0,253342882.84,0.03792922620237441
45380,other,2761287.61,27280.0,253342882.84,0.010899408655359405
45380,rehab_inp,0.0,0.0,253342882.84,0.0
45380,rural_hc,724.96,0.0,253342882.84,2.861576342201222e-06
45380,snf,599.94,0.0,253342882.84,2.368094944190302e-06
45381,asc,6529591.31,39960.0,7489013.52,0.871889374022655
45381,er,553.55,0.0,7489013.52,7.391494200427081e-05
45381,hopd_on_campus,490623.15,23342.0,7489013.52,0.06551238673688495
45381,indep_clinic,691.49,0.0,7489013.52,9.23339233068977e-05
45381,inp_psy,170.3,0.0,7489013.52,2.2739977641274177e-05
45381,inpatient,153905.34,3949.0,7489013.52,0.020550816150749853
45381,office,284589.04,1592.0,7489013.52,0.038000871441877165
45381,other,28889.34,1115.0,7489013.52,0.003857562804880609
45381,rehab_inp,0.0,0.0,7489013.52,0.0
45382,alf,0.0,0.0,4961948.95,0.0
45382,asc,1561530.04,4114.0,4961948.95,0.314700948303791
45382,er,9298.37,0.0,4961948.95,0.0018739350391744761
45382,hopd_on_campus,1235161.22,4159.0,4961948.95,0.24892662791300985
45382,indep_clinic,606.84,0.0,4961948.95,0.00012229871893381733
45382,inpatient,1830819.31,7465.0,4961948.95,0.36897181499620224
45382,office,287251.72000000003,383.0,4961948.95,0.05789090595138026
45382,other,37281.45,0.0,4961948.95,0.0075134690775083435
45384,asc,7811870.68,29310.0,11496680.87,0.6794892167864446
45384,er,2414.22,0.0,11496680.87,0.0002099927820297929
45384,fqhc,0.0,0.0,11496680.87,0.0
45384,hopd_on_campus,2515639.08,16247.0,11496680.87,0.2188143785537643
45384,indep_clinic,0.0,0.0,11496680.87,0.0
45384,inpatient,99815.45,235.0,11496680.87,0.008682110178465796
45384,nf,384.55,0.0,11496680.87,3.344878442294276e-05
45384,office,1031856.5900000001,2425.0,11496680.87,0.08975256438513285
45384,other,34313.32,108.0,11496680.87,0.0029846283799647645
45384,rural_hc,386.98,0.0,11496680.87,3.3660149775036774e-05
45385,alf,395.69,0.0,432907658.56,9.140286436978298e-07
45385,asc,323679013.85,1010508.1,432907658.56,0.7476860421612035
45385,er,30224.55,45.0,432907658.56,6.981754515625171e-05
