measure_key,psps_paid,psps_allowed,psps_services,psps_denied_services,psps_denied_charges,psps_denial_rate_services,asc,er,esrd,home,hopd,indep_clinic,indep_lab,inpatient,nf,office,other,snf
head,372049186.83000004,485879784.09000003,7623423.0,475291.0,183344276.32,0.05868721873620923,1.7721366511177543e-05,0.27174083129012705,0.0,3.3116588978407895e-07,0.17856638555255405,0.019451831226033053,2.760893011894558e-05,0.20010353185912913,7.231436313363974e-06,0.3045682100140608,0.02546741886666039,4.8898292602135716e-05
homocy,4423413.67,4537721.28,307657.0,53938.0,7457829.57,0.1491668856040598,0.0,0.0,0.0,7.542590969114585e-05,3.9697847205866235e-05,8.336547913231909e-05,0.8780417183998077,0.0,7.145612497055921e-05,0.12161688011422184,5.557698608821272e-05,1.5879138882346492e-05
hyperco,13444093.46,13766734.580000002,783539.0,161584.0,24705135.77,0.17096610705696508,0.0,0.0,0.0,4.2048205160275644e-05,1.8745034817691605e-05,5.1200179621482636e-05,0.9171685749349142,0.0,9.85332334933054e-05,0.08258958949546014,2.6084317328154008e-05,5.2245992047722645e-06
ivc,3880872.89,3355487.36,14252.0,86.0,295028.0,0.005998047147440368,0.0005733916216977672,0.007635774435271444,0.0,0.0,0.11547554704890116,0.0,0.0,0.6739539000979752,0.0,0.2006526475027117,0.0017087392934428214,0.0
pci,120761485.72,121921553.07000001,205689.0,11509.0,26179409.59,0.05298851738966289,0.17569483394063692,0.0014809894804927875,0.0,0.0,0.42242753470489514,0.0,0.0,0.39843970967335657,0.0,0.0010416138825225445,0.0009153183180959626,0.0
pft,13518506.8,18232854.85,901589.0,62619.0,5489838.34,0.06494345618372799,1.4942478706302089e-06,4.533636806692289e-05,0.0,0.002167695769476552,0.08223168922768895,0.001137214355656499,1.4444642658314896e-05,0.006581982856272262,0.0015809578910002103,0.8933373225806269,0.012886830075049413,1.5031985633206175e-05
plant,93600639.38,119414439.80999999,3903934.6,193619.6,23795928.4,0.04725248051630409,0.00019724790473968666,0.025648547337946616,0.0,0.006976315699607566,0.08724900945222583,0.01281449836181664,2.260240970588977e-06,0.05335178149506354,0.00937826093725985,0.7685027177856015,0.03481259681113089,0.001066763973637292
preopec,618083087.0899999,832026649.77,7888208.0,269037.0,122148622.74000001,0.03298135583766333,7.40031250739267e-05,0.0059344147358393945,0.0,0.003301646400984358,0.17193515239242554,0.0011751286601606014,0.0002585741356432364,0.1966071705862829,0.0023285941810448317,0.5930052175600617,0.02518261679555319,0.00019748142693027073
preopst,479731468.92,619272352.61,4759697.6,273189.6,157903774.23,0.05428089069828547,2.2639769753797793e-05,0.0019113788846587222,0.0,5.251813072992603e-06,0.12687367298839825,0.0012239520816132163,8.656509462156049e-07,0.0223403395114512,5.534346133217181e-08,0.8293182545344873,0.01830171539458492,1.8740275721831423e-06
preopx,0.0,0.0,14.0,14.0,1915.0,0.5,,,,,,,,,,,,
psa,91293640.84,94254061.88,5947982.2,886119.2,87893525.71000001,0.12966140654570912,1.9738505151286068e-07,1.9738505151286068e-07,0.0,0.00014074540002757986,0.00012596824810782737,9.067838596237542e-05,0.7250955296658098,0.0,0.0003233088277389377,0.27384002675295216,0.0003754525472379003,7.895402060514427e-06
pth,69062552.08,71240263.77,1824123.0,96791.0,16022505.629999999,0.050387992382792776,0.0,0.0,0.0,0.00022190028515378315,0.00013939681795784573,0.00014115421029775534,0.7995747244618765,0.0,0.0010161910888943795,0.19839123442945897,0.0005042703889606971,1.112831739999609e-05
renlstent,5530691.39,1654061.66,2641.0,58.0,492169.52,0.021489440533530937,0.11914616157962847,0.001703884620472378,0.0,0.0,0.25496639037746055,0.0,0.0,0.2373146370765048,0.0,0.38573292009337734,0.0011360062525564275,0.0
rhcath,3335745.54,3854871.96,50315.0,5468.0,8146444.22,0.09802269508631661,0.00010441144140748818,0.0008756393330889382,0.0,0.0,0.028241464725154063,0.0,0.0,0.9703910268886997,0.0,0.00038745761164983827,0.0,0.0
rhinoct,26244272.76,33318655.540000003,568582.0,38724.0,14943718.55,0.06376357223541344,6.695556078346443e-06,0.2720797914767595,0.0,3.864843233705212e-06,0.10856856107450392,0.012717949666668529,0.00034644168208225863,0.04968411058382858,3.598499408371489e-06,0.5335746064696821,0.02300285610962382,1.1524038130748342e-05
spinj,315345599.16,402955881.46000004,2245186.0,146167.0,152547503.57,0.06112313824015108,0.5217508439574572,0.00012747889968048478,0.0,0.00011013735435825131,0.06303794485463528,9.260382918863372e-05,0.0,0.0007284466966144294,1.689425828104523e-05,0.3999011243090658,0.014158822041256992,7.570379946189575e-05
stress,479731468.92,619272352.61,4759697.6,273189.6,157903774.23,0.05428089069828547,2.2639769753797793e-05,0.0019113788846587222,0.0,5.251813072992603e-06,0.12687367298839825,0.0012239520816132163,8.656509462156049e-07,0.0223403395114512,5.534346133217181e-08,0.8293182545344873,0.01830171539458492,1.8740275721831423e-06
sync,372049186.83000004,485879784.09000003,7623423.0,475291.0,183344276.32,0.05868721873620923,1.7721366511177543e-05,0.27174083129012705,0.0,3.3116588978407895e-07,0.17856638555255405,0.019451831226033053,2.760893011894558e-05,0.20010353185912913,7.231436313363974e-06,0.3045682100140608,0.02546741886666039,4.8898292602135716e-05
t3,32457711.1,33434833.43,2291351.2,219365.2,25126702.39,0.0873715565804246,0.0,8.93778366275495e-07,0.0,0.0005403766749282576,4.989569335343551e-05,5.74593813548362e-05,0.7933321475031553,0.0,0.0012568914633046937,0.20380814221986218,0.0009343767312045612,1.9816554470472196e-05
vert,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
vitd,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
