hcpcs,category,OPPS_rate,PFS_office_rate,HOPD_prof_fee,HOPD_total,differential,HOPD_volume,eligible,eligibility_share,savings,description,booked
77075,imaging,106.34,96.07,25.23,131.57,35.5,16446,1,1.0,583852.15959,Radex osseous survey compl,False
70030,imaging,88.05,32.02,8.41,96.46,64.44,9059,1,1.0,583735.2812449998,X-ray eye for foreign body,False
74455,imaging,241.72,98.33,14.88,256.6,158.27,3675,1,1.0,581627.6602499998,X-ray urethra/bladder,False
76981,imaging,106.34,102.54,27.49,133.83,31.3,17723,1,1.0,554661.1347600005,Use parenchyma,False
73220,imaging,357.13,402.07,98.66,455.79,53.72,9838,1,1.0,528495.6875400005,Mri uppr extremity w/o&w/dye,False
72149,imaging,357.13,266.21,81.84,438.97,172.75,2896,1,1.0,500298.33519999986,Mri lumbar spine w/dye,False
75571,imaging,88.05,98.98,26.52,114.57,15.59,31632,1,1.0,493264.34688,Ct hrt w/o dye w/ca test,False
78597,imaging,401.83,175.96,32.35,434.18,258.21,1898,1,1.0,490085.50292,Lung perfusion differential,False
73525,imaging,357.13,120.98,26.85,383.98,263.0,1815,1,1.0,477348.058275,Contrast x-ray of hip,False
72200,imaging,106.34,32.67,8.09,114.43,81.76,5652,1,1.0,462088.64232000004,X-ray exam si joints,False
70481,imaging,178.02,177.58,51.43,229.45,51.87,8824,1,1.0,457688.96760000003,Ct orbit/ear/fossa w/dye,False
73040,imaging,357.13,125.5,25.88,383.01,257.5,1737,1,1.0,447282.32886000007,Contrast x-ray of shoulder,False
78201,imaging,538.27,169.82,19.41,557.68,387.86,1030,1,1.0,399494.53825000004,Liver imaging static only,False
72074,imaging,106.34,43.34,11.32,117.66,74.32,5360,1,1.0,398338.93240000005,X-ray exam thorac spine4/>vw,False
70492,imaging,178.02,217.37,73.43,251.45,34.08,11676,1,1.0,397895.60370000015,Ct sft tsue nck w/o & w/dye,False
74160,imaging,178.02,227.07,57.9,235.92,8.85,44250,1,1.0,391515.37125000224,Ct abdomen w/contrast,False
78598,imaging,538.27,260.71,36.88,575.15,314.43,1189,1,1.0,373859.90958000004,Lung perf&ventilat diferentl,False
74182,imaging,357.13,297.26,78.6,435.73,138.47,2655,1,1.0,367631.63730000006,Mri abdomen w/contrast,False
71047,imaging,88.05,40.76,12.62,100.67,59.91,6062,1,1.0,363165.59979,X-ray exam chest 3 views,False
70545,imaging,357.13,224.16,54.34,411.47,187.31,1890,1,1.0,354017.55375,Mr angiography head w/dye,False
70540,imaging,241.72,222.22,61.13,302.85,80.63,4352,1,1.0,350921.03936000005,Mri orbit/face/neck w/o dye,False
77071,imaging,88.05,52.72,52.72,140.77,88.05,3910,1,1.0,344275.49999999994,Mnl appl strs jt radiography,False
70150,imaging,106.34,45.29,11.97,118.31,73.02,4501,1,1.0,328676.995605,X-ray exam of facial bones,False
72147,imaging,357.13,268.15,81.19,438.32,170.17,1821,1,1.0,309874.52583000006,Mri chest spine w/dye,False
76519,imaging,106.34,65.99,29.11,135.45,69.46,4458,1,1.0,309674.92542000004,Echo exam of eye,False
76815,imaging,106.34,78.28,29.76,136.1,57.82,5315,1,1.0,307314.6287500001,Ob us limited fetus(s),False
72142,imaging,357.13,271.06,82.16,439.29,168.23,1787,1,1.0,300620.64828,Mri neck spine w/dye,False
72083,imaging,106.34,77.63,16.5,122.84,45.21,6429,1,1.0,290623.68433500006,X-ray exam entire spi 4/5 vw,False
71048,imaging,106.34,44.31,14.23,120.57,76.26,3543,1,1.0,270181.225965,X-ray exam chest 4+ views,False
71120,imaging,88.05,32.35,9.06,97.11,64.76,4006,1,1.0,259430.64312000005,X-ray exam breastbone 2/>vws,False
70260,imaging,106.34,43.34,12.94,119.28,75.93,3398,1,1.0,258024.71742,X-ray exam of skull,False
78012,imaging,401.83,78.6,8.41,410.24,331.64,726,1,1.0,240769.25697000002,Thyroid uptake measurement,False
72196,imaging,357.13,264.27,78.6,435.73,171.46,1392,1,1.0,238673.83728,Mri pelvis w/dye,False
76817,imaging,106.34,88.95,34.29,140.63,51.67,4559,1,1.0,235583.6579850001,Transvaginal us obstetric,False
70480,imaging,106.34,156.56,58.55,164.89,8.33,28260,1,1.0,235408.76730000088,Ct orbit/ear/fossa w/o dye,False
70110,imaging,106.34,42.37,11.64,117.98,75.61,3096,1,1.0,234091.1142,X-ray exam of jaw 4/> views,False
78111,imaging,1305.48,88.95,10.03,1315.51,1226.55,188,1,1.0,230592.25352000003,Plasma volume multiple,False
78630,imaging,538.27,292.41,30.41,568.68,276.26,834,1,1.0,230403.63390000002,Cerebrospinal fluid scan,False
76391,imaging,241.72,196.34,50.14,291.86,95.51,2398,1,1.0,229042.14036000002,Mr elastography,False
74425,imaging,357.13,129.39,23.29,380.42,251.03,859,1,1.0,215637.75932,Urography antegrade rs&i,False
70160,imaging,88.05,36.55,8.09,96.14,59.59,3532,1,1.0,210454.50256,X-ray exam of nasal bones,False
72081,imaging,88.05,41.73,11.97,100.02,58.29,3542,1,1.0,206467.50123999998,X-ray exam entire spi 1 vw,False
76811,imaging,241.72,172.08,86.37,328.09,156.0,1320,1,1.0,205922.34299999996,Ob us detailed sngl fetus,False
72084,imaging,106.34,95.42,19.41,125.75,30.33,6718,1,1.0,203728.22055000003,X-ray exam entire spi 6/> vw,False
72193,imaging,178.02,223.19,52.72,230.74,7.55,26841,1,1.0,202755.43774499997,Ct pelvis w/dye,False
78645,imaging,538.27,281.41,25.23,563.5,282.09,699,1,1.0,197177.91827999998,Csf shunt evaluation,False
78305,imaging,401.83,239.69,37.52,439.35,199.66,957,1,1.0,191078.80687499995,Bone imaging multiple areas,False
70210,imaging,88.05,31.38,8.09,96.14,64.76,2946,1,1.0,190784.49191999997,X-ray exam of sinuses,False
76514,imaging,24.49,11.0,7.44,31.93,20.93,9101,1,1.0,190501.08538499998,Echo exam of eye thickness,False
78469,imaging,538.27,197.96,41.4,579.67,381.71,484,1,1.0,184749.06295999998,Heart infarct image (3d),False
76819,imaging,106.34,83.13,34.93,141.27,58.14,3090,1,1.0,179664.07935000004,Fetal biophys profil w/o nst,False
75557,imaging,241.72,272.36,106.1,347.82,75.46,2282,1,1.0,172197.41517999992,Cardiac mri for morph,False
70100,imaging,88.05,37.52,8.41,96.46,58.94,2776,1,1.0,163612.3044,X-ray exam of jaw <4views,False
73702,imaging,178.02,192.14,54.99,233.01,40.87,3900,1,1.0,159396.27599999995,Ct lwr extremity w/o&w/dye,False
78215,imaging,401.83,174.35,22.0,423.83,249.48,624,1,1.0,155674.26263999997,Lvr&spleen img static only,False
76816,imaging,106.34,105.13,38.82,145.16,40.03,3837,1,1.0,153593.862975,Ob us follow-up per fetus,False
77047,imaging,241.72,215.1,72.78,314.5,99.4,1490,1,1.0,148099.14599999995,Mri breast c- bilateral,False
78013,imaging,401.83,163.35,16.5,418.33,254.98,575,1,1.0,146611.71175,Thyroid imaging w/blood flow,False
70200,imaging,106.34,46.26,12.94,119.28,73.02,1972,1,1.0,144001.56306000004,X-ray exam of eye sockets,False
76510,imaging,128.9,65.66,37.2,166.1,100.44,1382,1,1.0,138801.28056,Oph us dx b-scan&quan a-scan,False
72270,imaging,790.06,147.18,63.4,853.46,706.28,191,1,1.0,134899.969915,Myelogphy 2/> spine regions,False
76825,imaging,548.3,248.1,75.37,623.67,375.57,337,1,1.0,126566.98552999998,Echo exam of fetal heart,False
78102,imaging,401.83,154.29,23.94,425.77,271.47,464,1,1.0,125963.75272,Bone marrow imaging ltd,False
76820,imaging,106.34,42.7,22.64,128.98,86.29,1456,1,1.0,125631.20752,Umbilical artery echo,False
72240,imaging,790.06,107.71,41.73,831.79,724.07,173,1,1.0,125264.65322,Myelography neck spine,False
70488,imaging,178.02,181.14,57.58,235.6,54.46,2174,1,1.0,118388.14838000004,Ct maxillofacial w/o & w/dye,False
76801,imaging,106.34,112.89,45.29,151.63,38.74,3011,1,1.0,116633.53896500001,Ob us < 14 wks single fetus,False
73719,imaging,357.13,258.45,73.75,430.88,172.43,667,1,1.0,115011.800495,Mri lower extremity w/dye,False
78122,imaging,538.27,96.39,19.73,558.0,461.61,246,1,1.0,113555.76357,Whl bld volume determination,False
72133,imaging,178.02,193.76,57.58,235.6,41.84,2661,1,1.0,111339.52633499996,Ct lumbar spine w/o & w/dye,False
75573,imaging,357.13,301.79,116.12,473.25,171.46,633,1,1.0,108534.86996999997,Ct hrt c+ strux cgen hrt ds,False
77074,imaging,106.34,63.4,20.05,126.39,63.0,1625,1,1.0,102367.99625000001,Radex osseous survey lmtd,False
74280,imaging,178.02,208.63,57.25,235.27,26.64,3709,1,1.0,98801.75141999994,X-ray xm colon 2cntrst std,False
78610,imaging,538.27,154.94,13.26,551.53,396.59,241,1,1.0,95578.75153,Brain flow imaging only,False
74400,imaging,178.02,128.42,22.0,200.02,71.6,1300,1,1.0,93080.01950000002,Urography iv +-kub tomog,False
74210,imaging,178.02,89.92,26.85,204.87,114.94,792,1,1.0,91035.9054,X-ray xm phrnx&/crv esoph c+,False
76936,imaging,311.4,249.71,89.92,401.32,151.61,584,1,1.0,88539.24135999997,Echo guide for artery repair,False
73218,imaging,241.72,296.29,61.78,303.5,7.21,12210,1,1.0,88008.15375000001,Mri upper extremity w/o dye,False
70140,imaging,88.05,31.05,9.38,97.43,66.38,1201,1,1.0,79719.79184500001,X-ray exam of facial bones,False
78600,imaging,401.83,161.41,19.73,421.56,260.15,294,1,1.0,76484.78502,Brain image < 4 views,False
