hsa,year,n_hospitals,hhi_pre,hhi_post,hhi_shift,concentrated_pre,concentrated_post
19050,2019,6,2004.3774152730753,3210.9024999145026,1206.5250846414274,False,True
19059,2021,13,1692.1577286760062,2651.5303303311634,959.3726016551573,False,True
19059,2023,14,2343.188271156917,3993.355203948324,1650.166932791407,False,True
19062,2020,3,5710.376681092201,8765.743561877776,3055.3668807855756,True,True
19066,2019,63,419.15574020537775,590.5224848293169,171.36674462393916,False,False
19078,2020,14,1420.3557415432065,2425.1709832490633,1004.8152417058568,False,False
19080,2019,59,583.7475964986195,874.9690458155541,291.2214493169346,False,False
19080,2020,60,581.6796757262699,867.1405937043057,285.4609179780358,False,False
19080,2025,63,527.9244769008646,778.115099988097,250.19062308723232,False,False
19086,2020,3,6365.445474772322,8687.138099252361,2321.692624480039,True,True
19090,2025,7,3411.403975345173,4789.857372088554,1378.4533967433813,True,True
20010,2021,3,3487.5109045915005,6435.756378073314,2948.245473481814,True,True
20011,2021,2,5525.931336742148,10000.0,4474.068663257852,True,True
20014,2020,4,3365.0969529085874,5913.573407202215,2548.4764542936277,True,True
20019,2019,2,5006.194034009319,10000.0,4993.805965990681,True,True
2015,2021,2,5000.0,10000.0,5000.0,True,True
21002,2024,44,376.1638176997853,511.3225097841182,135.15869208433293,False,False
22007,2024,4,4233.066950103409,5974.493745328885,1741.4267952254759,True,True
22014,2024,4,4415.850504663499,7380.299565378769,2964.44906071527,True,True
22022,2019,8,1525.4164646510642,2342.4077402557054,816.9912756046413,False,False
22061,2024,6,1976.2473217018671,3387.531884501582,1411.284562799715,False,True
23027,2019,2,6224.8750127538015,10000.0,3775.1249872461985,True,True
23058,2019,9,2522.994328922495,4660.76370510397,2137.7693761814753,True,True
23097,2025,3,6348.069788359908,8601.577859613064,2253.5080712531562,True,True
24014,2023,2,5057.397959183674,10000.0,4942.602040816326,True,True
24034,2025,2,5555.555555555556,10000.0,4444.444444444444,True,True
24040,2025,3,4893.122000872473,8987.035939195312,4093.9139383228385,True,True
24048,2020,2,5041.322314049586,10000.0,4958.677685950414,True,True
24081,2021,2,5525.931336742148,10000.0,4474.068663257852,True,True
24087,2020,2,5693.963860053826,10000.0,4306.036139946174,True,True
24099,2019,2,5266.2721893491125,10000.0,4733.7278106508875,True,True
25036,2024,2,9512.5,10000.0,487.5,True,True
25039,2025,35,882.7741914586555,1318.193454890957,435.41926343230136,False,False
25041,2020,2,6148.0034722222235,10000.0,3851.9965277777765,True,True
