ccn,hsanum,hrrnum,STATE_CD,ctrl_type,net_patient_revenue,commercial_share,commercial_revenue_bil,spend_at_risk_bil,fy
030071,3010,293,AZ,7,0.0,0.4,0.0,0.0,2023
030073,3044,12,AZ,7,0.0,0.4,0.0,0.0,2023
030074,3032,15,AZ,7,0.0,0.4,0.0,0.0,2023
030077,3042,12,AZ,7,0.0,0.4,0.0,0.0,2023
030078,3022,12,AZ,7,0.0,0.4,0.0,0.0,2023
030083,3022,12,AZ,4,125264552.0,0.4,0.05357451018536061,0.05357451018536061,2023
030084,3038,293,AZ,7,0.0,0.4,0.0,0.0,2023
030085,3032,15,AZ,4,343673761.0,0.4,0.1469861434473153,0.1469861434473153,2023
030087,3025,12,AZ,2,627344546.0,0.4,0.2683095595105583,0.2683095595105583,2023
030088,3016,11,AZ,2,281605477.0,0.4,0.12044010260612142,0.12044010260612142,2023
030089,3022,12,AZ,2,776040835.0,0.4,0.3319056106069277,0.3319056106069277,2023
030092,3022,12,AZ,2,388265713.0,0.4,0.16605771595897936,0.16605771595897936,2023
030093,3029,14,AZ,2,363986560.0,0.4,0.15567374292812197,0.15567374292812197,2023
030094,3022,12,AZ,4,438035011.0,0.4,0.18734359229069086,0.18734359229069086,2023
030101,3003,279,AZ,4,124598538.0,0.4,0.05328966205189511,0.05328966205189511,2023
030103,3022,12,AZ,2,2583603436.0,0.4,1.10498370358531,1.10498370358531,2023
030105,3016,11,AZ,2,171572743.0,0.4,0.0733801025160235,0.0733801025160235,2023
030107,3016,11,AZ,4,51078000.0,0.4,0.02184559628048523,0.02184559628048523,2023
030108,3022,12,AZ,5,106329057.0,0.4,0.04547597110510792,0.04547597110510792,2023
030110,3022,12,AZ,4,334274157.0,0.4,0.1429660182626872,0.1429660182626872,2023
030111,3032,15,AZ,2,221092142.0,0.4,0.09455909931711722,0.09455909931711722,2023
030112,3022,12,AZ,5,29618792.0,0.4,0.012667688091696343,0.012667688091696343,2023
030113,3026,12,AZ,7,0.0,0.4,0.0,0.0,2023
030114,3032,15,AZ,4,152352867.0,0.4,0.06515993626720822,0.06515993626720822,2023
030115,3022,12,AZ,2,445368593.0,0.4,0.19048009864688792,0.19048009864688792,2023
030117,3003,279,AZ,4,56055979.0,0.4,0.023974632646958736,0.023974632646958736,2023
030119,3016,11,AZ,1,397372277.0,0.4,0.16995251059945862,0.16995251059945862,2023
030121,3016,11,AZ,6,165236507.0,0.4,0.07067015197775113,0.07067015197775113,2023
030122,3016,11,AZ,2,696428366.0,0.4,0.29785608132491503,0.29785608132491503,2023
030123,3025,12,AZ,2,200717994.0,0.4,0.08584526142669756,0.08584526142669756,2023
030130,3016,11,AZ,2,128235769.0,0.4,0.05484527268670589,0.05484527268670589,2023
030131,3022,12,AZ,5,68439538.0,0.4,0.029270968259738593,0.029270968259738593,2023
030134,3016,11,AZ,2,22482535.0,0.4,0.009615575844235856,0.009615575844235856,2023
030136,3022,12,AZ,2,86494539.0,0.4,0.036992928060235034,0.036992928060235034,2023
030138,3022,12,AZ,4,951165684.0,0.4,0.40680491656908246,0.40680491656908246,2023
030139,3016,11,AZ,2,118280133.0,0.4,0.050587337670231776,0.050587337670231776,2023
030146,3022,12,AZ,2,107399094.0,0.4,0.04593361620294224,0.04593361620294224,2023
030147,3005,11,AZ,2,419475493.0,0.4,0.1794058551555564,0.1794058551555564,2023
030148,3032,15,AZ,4,108655124.0,0.4,0.046470808816125565,0.046470808816125565,2023
030152,3004,12,AZ,4,17095606.0,0.4,0.007311635280281942,0.007311635280281942,2023
030153,3016,11,AZ,4,12216397.0,0.4,0.0052248419449495076,0.0052248419449495076,2023
030154,3037,12,AZ,4,20136961.0,0.4,0.008612395166644665,0.008612395166644665,2023
031300,3033,14,AZ,2,42689075.0,0.4,0.018257729316679492,0.018257729316679492,2023
031301,3032,15,AZ,2,23321871.0,0.4,0.009974552221534837,0.009974552221534837,2023
031302,3034,15,AZ,11,18076513.0,0.4,0.007731160287343729,0.007731160287343729,2023
031304,3019,12,AZ,2,22484688.0,0.4,0.009616496662764224,0.009616496662764224,2023
031305,3040,12,AZ,7,0.0,0.4,0.0,0.0,2023
031307,3020,12,AZ,7,0.0,0.4,0.0,0.0,2023
031308,3005,11,AZ,7,0.0,0.4,0.0,0.0,2023
