hrr,year,n_hospitals_x,hhi_pre,hhi_post,hhi_shift,concentrated_pre,concentrated_post,spend_at_risk_bil,n_hospitals_y,raw_uplift,shift_intensity,blended_uplift,raw_savings_bil
423,2023,101,370.97268365999633,553.5804105983923,182.60772693839596,False,False,4.709978654163859,53,0.07,0.9130386346919798,0.06391270442843859,0.30102747358782966
451,2022,97,370.99418445924385,551.887426975192,180.8932425159482,False,False,4.768988197557837,44,0.07,0.904466212579741,0.06331263488058188,0.3019372085017836
219,2019,97,379.2820903809601,557.8807608207155,178.59867043975544,False,False,1.2781488606428364,33,0.07,0.8929933521987772,0.06250953465391441,0.0798964904972146
431,2024,53,402.67408193116444,580.2954639019334,177.621381970769,False,False,3.574117188202085,25,0.07,0.888106909853845,0.062167483689769154,0.22219387200287669
385,2019,65,375.85792180386784,546.5363509589555,170.67842915508766,False,False,3.1265428195825913,38,0.07,0.8533921457754383,0.05973745020428069,0.1867716959963664
113,2024,57,400.825016477175,570.1099858909943,169.28496941381928,False,False,4.415722671762765,31,0.07,0.8464248470690964,0.059249739294836755,0.2616304171002439
213,2022,79,340.9617489469179,503.436581397834,162.4748324509161,False,False,0.9534869359229282,30,0.07,0.8123741622545805,0.05686619135782064,0.0542211705553753
251,2019,148,356.4767316646831,510.95902947431796,154.48229780963487,False,False,6.40857439935954,78,0.07,0.7724114890481744,0.05406880423337221,0.3465039546139718
1,2025,88,314.470108377373,466.50171561393137,152.0316072365584,False,False,3.5320004272420915,49,0.07,0.760158036182792,0.05321106253279544,0.18794149559983916
443,2023,65,413.5259715679295,563.9484921536207,150.4225205856912,False,False,0.823765994039878,26,0.07,0.7521126029284559,0.05264788220499192,0.04336953501868957
259,2020,93,352.8449352694317,502.7161998865587,149.871264617127,False,False,1.5020089059482509,46,0.07,0.7493563230856349,0.05245494261599445,0.0787877909702281
79,2019,54,437.5277667250038,579.4339281343238,141.90616140931996,False,False,4.108470099689747,31,0.07,0.7095308070465998,0.04966715649326199,0.20405602738917836
293,2020,100,303.9207056077887,440.9268341221254,137.0061285143367,False,False,2.6761244608106853,45,0.07,0.6850306425716834,0.04795214498001785,0.12832590812936606
218,2019,73,365.625378297617,502.49099530744877,136.8656170098318,False,False,2.0121563728357716,19,0.07,0.684328085049159,0.04790296595344113,0.09638825822095157
279,2025,71,360.5459591944838,490.43786923479126,129.89191004030744,False,False,2.7601501091240412,40,0.07,0.6494595502015372,0.04546216851410761,0.12548240938522967
327,2021,55,391.1251793984524,510.58203976200735,119.45686036355494,False,False,4.180100019151619,30,0.07,0.5972843018177747,0.04180990112724423,0.17476956850272093
127,2019,78,316.33741834798,434.81874802666204,118.48132967868202,False,False,6.648830651436063,37,0.07,0.5924066483934101,0.041468465387538705,0.2757168037366828
440,2024,103,290.1925375554347,407.3643741638213,117.17183660838663,False,False,2.8246691971815236,51,0.07,0.5858591830419332,0.04101014281293533,0.11584008717571367
204,2019,76,326.46068941794124,442.49844446099166,116.03775504305042,False,False,3.4518165890808805,49,0.07,0.5801887752152521,0.04061321426506766,0.1401893667360568
328,2023,75,309.0428053475427,418.16519598383985,109.12239063629715,False,False,7.82884684521585,39,0.07,0.5456119531814858,0.03819283672270401,0.29900586928638534
339,2022,174,222.238811225196,319.7615959638725,97.52278473867648,False,False,3.623700071958885,81,0.07,0.4876139236933824,0.03413297465853677,0.12368766272631049
394,2020,95,319.0621907716152,409.1025255221242,90.04033475050903,False,False,3.8321498329872026,46,0.07,0.45020167375254516,0.031514117162678164,0.12076681882169626
380,2019,114,248.74189582950672,338.60511092112597,89.86321509161925,False,False,6.083499434282142,64,0.07,0.44931607545809626,0.03145212528206674,0.19133898636042407
439,2023,60,308.9946482671236,397.54599262337086,88.55134435624728,False,False,7.010065498484562,30,0.07,0.44275672178123643,0.030992970524686553,0.21726275337065418
329,2019,114,271.17970024868447,359.20770606409997,88.0280058154155,False,False,7.6303953950667855,61,0.07,0.4401400290770775,0.030809802035395427,0.23509097157380054
278,2021,120,266.9375870534258,352.5601096937091,85.62252264028331,False,False,3.0108970730517255,58,0.07,0.4281126132014165,0.02996788292409916,0.09023021098172694
223,2024,64,261.2044502499888,336.55240754920925,75.34795729922047,False,False,4.934253344523057,28,0.07,0.37673978649610235,0.026371785054727166,0.1301250686073307
