hsa,year,n_hospitals,hhi_pre,hhi_post,hhi_shift,concentrated_pre,concentrated_post,spend_at_risk_bil,n_hospitals_spend,raw_uplift,shift_intensity,blended_uplift,raw_savings_bil,booked_savings_bil
33123,2025,3,4868.1405895691605,8162.018140589568,3293.8775510204077,True,True,0.15464407064789934,1.0,0.153,1.0,0.153,0.023660542809128597,0.023660542809128597
14111,2021,2,6761.187124066363,10000.0,3238.812875933637,True,True,0.023425401390052027,1.0,0.153,1.0,0.153,0.00358408641267796,0.00358408641267796
33059,2024,2,6800.000000000002,10000.0,3199.999999999998,True,True,0.0802368859478017,1.0,0.153,1.0,0.153,0.01227624355001366,0.01227624355001366
36021,2023,4,3786.6813480857913,6964.261400299549,3177.5800522137574,True,True,0.09022628417619054,1.0,0.153,1.0,0.153,0.013804621478957151,0.013804621478957151
26091,2021,2,6875.187789195361,10000.0,3124.812210804639,True,True,0.047116186700273725,1.0,0.153,1.0,0.153,0.0072087765651418795,0.0072087765651418795
37026,2020,3,3799.0706617529245,6923.569940714631,3124.4992789617068,True,True,0.004741700908921273,1.0,0.153,1.0,0.153,0.0007254802390649548,0.0007254802390649548
52102,2020,3,6186.420311967317,9272.113519887775,3085.693207920458,True,True,0.3659169526506951,3.0,0.153,1.0,0.153,0.05598529375555635,0.05598529375555635
17108,2019,7,3199.9341747906774,6281.073643808904,3081.139469018227,True,True,0.5021489458926226,4.0,0.153,1.0,0.153,0.07682878872157126,0.07682878872157126
19062,2020,3,5710.376681092201,8765.743561877776,3055.3668807855756,True,True,0.0154952100056356,1.0,0.153,1.0,0.153,0.0023707671308622466,0.0023707671308622466
36055,2020,5,3675.976846382035,6723.601560574251,3047.6247141922163,True,True,0.41429106342658983,4.0,0.153,1.0,0.153,0.06338653270426825,0.06338653270426825
16072,2025,3,3559.556786703601,6575.869498307172,3016.3127116035707,True,True,0.023230123708401967,1.0,0.153,1.0,0.153,0.003554208927385501,0.003554208927385501
14068,2025,5,3382.0479267923592,6379.0747565383035,2997.0268297459443,True,True,0.369152532323028,3.0,0.153,1.0,0.153,0.05648033744542329,0.05648033744542329
5253,2025,4,3369.3697644840136,6363.317398359722,2993.947633875708,True,True,0.0837417808751453,1.0,0.153,1.0,0.153,0.012812492473897232,0.012812492473897232
45145,2025,3,4017.70379178227,6998.2824679614205,2980.5786761791505,True,True,0.004936919141534897,1.0,0.153,1.0,0.153,0.0007553486286548392,0.0007553486286548392
22014,2024,4,4415.850504663499,7380.299565378769,2964.44906071527,True,True,0.5328206818594972,3.0,0.153,1.0,0.153,0.08152156432450307,0.08152156432450307
20010,2021,3,3487.5109045915005,6435.756378073314,2948.245473481814,True,True,0.10283582897179967,1.0,0.153,1.0,0.153,0.01573388183268535,0.01573388183268535
42036,2025,3,3677.073898449571,6620.75763226597,2943.6837338163987,True,True,0.15586402860147522,3.0,0.153,1.0,0.153,0.023847196376025708,0.023847196376025708
39031,2025,5,4274.19504759072,7214.82748364069,2940.6324360499702,True,True,0.7987180663506822,3.0,0.153,1.0,0.153,0.12220386415165438,0.12220386415165438
27022,2021,10,3716.618075801749,6634.0691378592255,2917.4510620574765,True,True,0.30759919160455684,5.0,0.153,1.0,0.153,0.047062676315497196,0.047062676315497196
52101,2019,2,7093.425605536332,10000.0,2906.574394463668,True,True,0.0253831419872494,1.0,0.153,1.0,0.153,0.0038836207240491583,0.0038836207240491583
28042,2021,4,4371.668133119403,7275.244552559391,2903.576419439988,True,True,0.1491388311210896,2.0,0.153,1.0,0.153,0.022818241161526708,0.022818241161526708
14028,2021,3,3593.535665294924,6492.198216735254,2898.6625514403304,True,True,0.17280875580719565,2.0,0.153,1.0,0.153,0.026439739638500933,0.026439739638500933
45148,2019,7,3121.970745120561,5998.729562046971,2876.7588169264104,True,True,0.11833760488827942,4.0,0.153,1.0,0.153,0.01810565354790675,0.01810565354790675
45221,2021,4,5337.95918367347,8194.448979591838,2856.489795918368,True,True,0.07035699455528838,2.0,0.153,1.0,0.153,0.010764620166959121,0.010764620166959121
15048,2021,2,7175.192394748755,10000.0,2824.807605251245,True,True,0.04946058725196658,2.0,0.153,1.0,0.153,0.0075674698495508865,0.0075674698495508865
5244,2020,5,3124.6300016498285,5906.532351200007,2781.9023495501783,True,True,0.19825438899631923,2.0,0.153,1.0,0.153,0.03033292151643684,0.03033292151643684
