hcpcs_cd,n_measures,measures_list,min_share,mean_share,max_share,phys_paid,hopd_paid,combined_paid,combined_alowd,lv_paid_min,lv_paid_mean,lv_paid_max,patient_oop_mean
72010,1,backscan,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72020,1,backscan,0.5,0.5,0.5,989835.1100012144,0.0,989835.1100012144,1303871.630019847,494917.5550006072,494917.5550006072,494917.5550006072,157018.26000931632
72052,1,backscan,0.5,0.5,0.5,1654179.280009194,0.0,1654179.280009194,2254010.050011766,827089.640004597,827089.640004597,827089.640004597,299915.38500128605
72100,1,backscan,0.5,0.5,0.5,29801670.310270667,0.0,29801670.310270667,41047242.670189336,14900835.155135334,14900835.155135334,14900835.155135334,5622786.179959334
72110,1,backscan,0.5,0.5,0.5,19454029.350277796,0.0,19454029.350277796,26683040.109912977,9727014.675138898,9727014.675138898,9727014.675138898,3614505.37981759
72114,1,backscan,0.5,0.5,0.5,2692712.7299751337,0.0,2692712.7299751337,3657186.44000868,1346356.3649875668,1346356.3649875668,1346356.3649875668,482236.8550167731
72120,1,backscan,0.5,0.5,0.5,902522.4900037652,0.0,902522.4900037652,1210597.849984712,451261.2450018826,451261.2450018826,451261.2450018826,154037.67999047338
72131,1,backscan,0.5,0.5,0.5,23011382.5999931,0.0,23011382.5999931,30147655.999830443,11505691.29999655,11505691.29999655,11505691.29999655,3568136.6999186724
72132,1,backscan,0.5,0.5,0.5,3027773.979978325,0.0,3027773.979978325,3890716.83999089,1513886.9899891624,1513886.9899891624,1513886.9899891624,431471.43000628264
72133,1,backscan,0.5,0.5,0.5,269168.73999817,0.0,269168.73999817,348131.780003208,134584.369999085,134584.369999085,134584.369999085,39481.52000251901
72141,1,backscan,0.5,0.5,0.5,52889599.618258335,0.0,52889599.618258335,69373745.18990776,26444799.809129167,26444799.809129167,26444799.809129167,8242072.785824712
72142,1,backscan,0.5,0.5,0.5,256301.650001752,0.0,256301.650001752,329065.059999222,128150.825000876,128150.825000876,128150.825000876,36381.704998735004
72146,1,backscan,0.5,0.5,0.5,18951818.430047248,0.0,18951818.430047248,24544377.349702723,9475909.215023624,9475909.215023624,9475909.215023624,2796279.459827738
72147,1,backscan,0.5,0.5,0.5,223665.080003097,0.0,223665.080003097,283193.780002176,111832.5400015485,111832.5400015485,111832.5400015485,29764.349999539496
72148,1,backscan,0.5,0.5,0.5,129983697.94547889,0.0,129983697.94547889,171098745.44825017,64991848.97273944,64991848.97273944,64991848.97273944,20557523.751385644
72149,1,backscan,0.5,0.5,0.5,480792.690008336,0.0,480792.690008336,613432.909993088,240396.345004168,240396.345004168,240396.345004168,66320.109992376
72156,1,backscan,0.5,0.5,0.5,14131963.96011248,0.0,14131963.96011248,18149415.63989684,7065981.98005624,7065981.98005624,7065981.98005624,2008725.8398921797
72157,1,backscan,0.5,0.5,0.5,12538620.03987519,0.0,12538620.03987519,16033757.53960328,6269310.019937595,6269310.019937595,6269310.019937595,1747568.7498640446
72158,1,backscan,0.5,0.5,0.5,27142083.910029143,0.0,27142083.910029143,34942791.03988203,13571041.955014572,13571041.955014572,13571041.955014572,3900353.5649264418
72200,1,backscan,0.5,0.5,0.5,220983.4799962778,0.0,220983.4799962778,295783.8000001056,110491.7399981389,110491.7399981389,110491.7399981389,37400.160001913886
72202,1,backscan,0.5,0.5,0.5,738400.1500078382,0.0,738400.1500078382,1005373.250000489,369200.0750039191,369200.0750039191,369200.0750039191,133486.5499963254
72220,1,backscan,0.5,0.5,0.5,1414437.9700247904,0.0,1414437.9700247904,1935567.3200197152,707218.9850123952,707218.9850123952,707218.9850123952,260564.67499746243
73620,1,plant,0.35,0.35,0.35,6230728.510010165,0.0,6230728.510010165,8424283.63985316,2180754.978503558,2180754.978503558,2180754.978503558,767744.2954450483
73630,1,plant,0.35,0.35,0.35,47757559.80077816,0.0,47757559.80077816,65128830.37026359,16715145.930272354,16715145.930272354,16715145.930272354,6079944.699319901
73650,1,plant,0.35,0.35,0.35,895741.8799906881,0.0,895741.8799906881,1239751.3199847466,313509.6579967408,313509.6579967408,313509.6579967408,120403.30399792054
